DATE	type	rarity	vendor	level	name	brand	slot	armor	core	attributes	talents	mods
2021-06-08	gear	header-he	The Campus	40	Filter Mask	Hana-U Corporation	Mask	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>16.2% Repair Skills <br/><span class="icon-offensive"></span>4.5% Critical Hit Chance	-	Offensive
2021-06-08	gear	header-he	The Campus	40	Awe Thigh Mag Holster	Douglas & Harding	Holster	112k	<span class="icon-offensive"></span>9.8% Weapon Damage	<span class="icon-utility"></span>10.4% Skill Haste <br/><span class="icon-offensive"></span>4.2% Critical Hit Chance	-	-
2021-06-08	gear	header-gs	DZ West	40	Rigger Anti-Slip Gloves	Rigger	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>16.6% Repair Skills  	-	-
2021-06-08	gear	header-gs	DZ West	40	Hunter's Stride	Hunter's Fury	Kneepads	99k	<span class="icon-offensive"></span>10.6% Weapon Damage	<span class="icon-utility"></span>8.2% Status Effects  	-	-
2021-06-08	gear	header-he	DZ West	40	Tassar Fist Enhancers	Fenris Group AB	Gloves	80k	<span class="icon-offensive"></span>11.0% Weapon Damage	<span class="icon-offensive"></span>8.0% Headshot Damage <br/><span class="icon-utility"></span>10.2% Skill Haste	-	-
2021-06-08	gear	header-he	DZ West	40	Poleyn Knee Protector	Belstone Armory	Kneepads	99k	<span class="icon-defensive"></span>115,082 Armor	<span class="icon-defensive"></span>15,166 Health <br/><span class="icon-defensive"></span>6.8% Explosive Resistance	-	-
2021-06-08	gear	header-gs	DZ South	40	Ziba Low Profile Pack	Aces & Eights	Backpack	131k	<span class="icon-offensive"></span>8.9% Weapon Damage	<span class="icon-utility"></span>8.7% Status Effects  	<span class="icon-active"></span>Ace in the Sleeve	Offensive
2021-06-08	gear	header-gs	DZ South	40	Tania Silent Vest	Aces & Eights	Chest	158k	<span class="icon-offensive"></span>11.0% Weapon Damage	<span class="icon-offensive"></span>10.2% Critical Hit Damage  	<span class="icon-active"></span>No Limit	Offensive
2021-06-08	gear	header-he	DZ South	40	TacSack Mk II	Petrov Defense Group	Backpack	131k	<span class="icon-offensive"></span>10.4% Weapon Damage	<span class="icon-offensive"></span>7.0% Headshot Damage <br/><span class="icon-defensive"></span>16,249 Health	<span class="icon-active"></span>Wicked	Offensive
2021-06-08	gear	header-he	DZ South	40	Glacier Bay Vest	Yaahl	Chest	158k	<span class="icon-defensive"></span>115,082 Armor	<span class="icon-defensive"></span>8.2% Hazard Protection <br/><span class="icon-utility"></span>6.9% Skill Damage	<span class="icon-active"></span>Spark	Offensive
2021-06-08	gear	header-gs	DZ East	40	Heat Mask	Foundry Bulwark	Mask	80k	<span class="icon-defensive"></span>115,082 Armor	<span class="icon-defensive"></span>3,767 Armor Regeneration  	-	Defensive
2021-06-08	gear	header-gs	DZ East	40	Bogey Thigh Rig	Negotiator's Dilemma	Holster	112k	<span class="icon-offensive"></span>10.4% Weapon Damage	<span class="icon-utility"></span>10.0% Skill Haste  	-	-
2021-06-08	gear	header-he	DZ East	40	Bevor Air Guard	Belstone Armory	Mask	80k	<span class="icon-defensive"></span>127,530 Armor	<span class="icon-utility"></span>8.6% Status Effects <br/><span class="icon-offensive"></span>7.6% Headshot Damage	-	Offensive
2021-06-08	gear	header-he	DZ East	40	Torque Enabled Leg Rig	Alps Summit Armaments	Holster	112k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>16,340 Health <br/><span class="icon-offensive"></span>4.4% Critical Hit Chance	-	-
2021-06-08	gear	header-he	Haven	40	Support Weapons Bag	Petrov Defense Group	Backpack	131k	<span class="icon-offensive"></span>10.4% Weapon Damage	<span class="icon-defensive"></span>3,821 Armor Regeneration <br/><span class="icon-utility"></span>8.3% Status Effects	<span class="icon-active"></span>Bloodsucker	Offensive
2021-06-08	gear	header-he	Haven	40	Climbing Gloves	Alps Summit Armaments	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>7.5% Explosive Resistance <br/><span class="icon-offensive"></span>10.3% Critical Hit Damage	-	-
2021-06-08	gear	header-he	Haven	40	Drop Leg Holster	Petrov Defense Group	Holster	112k	<span class="icon-offensive"></span>11.1% Weapon Damage	<span class="icon-defensive"></span>8.5% Hazard Protection <br/><span class="icon-utility"></span>17.0% Repair Skills	-	-
2021-06-08	gear	header-he	Benitez	40	Flak Jacket	Hana-U Corporation	Chest	158k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-offensive"></span>6.0% Weapon Handling <br/><span class="icon-utility"></span>10.3% Skill Haste	<span class="icon-active"></span>Skilled	Offensive
2021-06-08	gear	header-he	Benitez	40	Ayal Gloves	Golan Gear Ltd	Gloves	80k	<span class="icon-defensive"></span>136,405 Armor	<span class="icon-defensive"></span>7.3% Explosive Resistance <br/><span class="icon-offensive"></span>10.2% Critical Hit Damage	-	-
2021-06-08	gear	header-he	Benitez	40	Breathe-Easy Mask	Walker, Harris & Co.	Mask	80k	<span class="icon-offensive"></span>12.2% Weapon Damage	<span class="icon-utility"></span>9.6% Skill Haste <br/><span class="icon-offensive"></span>10.7% Critical Hit Damage	-	Offensive
2021-06-08	gear	header-named	Cassie	40	Zero F's	Badger Tuff	Chest	158k	<span class="icon-defensive"></span>123,201 Armor	<span class="icon-defensive"></span>18,650 Health <br/><span class="icon-defensive"></span>3,938 Armor Regeneration	<span class="icon-active"></span>Perfectly Unbreakable	Offensive
2021-06-08	gear	header-named	Cassie	40	Hunter-Killer	Golan Gear Ltd	Chest	158k	<span class="icon-defensive"></span>143,854 Armor	<span class="icon-defensive"></span>17,141 Health <br/><span class="icon-utility"></span>7.8% Skill Damage	<span class="icon-active"></span>Perfect Intimidate	Utility
2021-06-08	gear	header-gs	Cassie	40	Ziba Low Profile Pack	Aces & Eights	Backpack	131k	<span class="icon-offensive"></span>10.4% Weapon Damage	<span class="icon-offensive"></span>5.6% Critical Hit Chance  	<span class="icon-active"></span>Ace in the Sleeve	Offensive
2021-06-08	gear	header-gs	Cassie	40	Appleton Body Armor	True Patriot	Chest	158k	<span class="icon-defensive"></span>127,530 Armor	<span class="icon-defensive"></span>8.6% Hazard Protection  	<span class="icon-active"></span>Waving the Flag	Defensive
2021-06-08	gear	header-gs	Cassie	40	Hunter's Claws	Hunter's Fury	Gloves	80k	<span class="icon-offensive"></span>10.6% Weapon Damage	<span class="icon-offensive"></span>5.5% Critical Hit Chance  	-	-
2021-06-08	gear	header-gs	Cassie	40	Nina Prone Pads	Aces & Eights	Kneepads	99k	<span class="icon-offensive"></span>9.7% Weapon Damage	<span class="icon-offensive"></span>8.0% Weapon Handling  	-	-
2021-06-08	gear	header-gs	Cassie	40	PPE Adapted Thigh Rig	Eclipse Protocol	Holster	112k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>10.5% Skill Haste  	-	-
2021-06-08	gear	header-gs	Cassie	40	Striker's Mask	Striker's Battlegear	Mask	80k	<span class="icon-offensive"></span>9.7% Weapon Damage	<span class="icon-utility"></span>10.0% Status Effects  	-	Offensive
2021-06-08	gear	header-he	Cassie	40	KM 9	China Light Industries Corporation	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>4,130 Armor Regeneration <br/><span class="icon-utility"></span>10.5% Skill Haste	<span class="icon-active"></span>Companion	Utility
2021-06-08	gear	header-he	Cassie	40	Deadstick Protection Mask	Overlord Armaments	Mask	80k	<span class="icon-offensive"></span>13.8% Weapon Damage	<span class="icon-offensive"></span>12.0% Critical Hit Damage <br/><span class="icon-offensive"></span>4.5% Weapon Handling	-	Offensive
2021-06-15	gear	header-he	White House	40	AMP24	5.11 Tactical	Backpack	131k	<span class="icon-defensive"></span>143,221 Armor	<span class="icon-defensive"></span>3,025 Armor Regeneration <br/><span class="icon-defensive"></span>15,649 Health	<span class="icon-active"></span>Tech Support	Defensive
2021-06-15	gear	header-he	White House	40	Ops Armor	Petrov Defense Group	Chest	158k	<span class="icon-offensive"></span>14.1% Weapon Damage	<span class="icon-offensive"></span>6.7% Headshot Damage <br/><span class="icon-defensive"></span>6.6% Explosive Resistance	<span class="icon-active"></span>Overwatch	Offensive
2021-06-15	gear	header-he	Haven	40	Tactical 48h Backpack	Providence Defense	Backpack	131k	<span class="icon-offensive"></span>10.8% Weapon Damage	<span class="icon-offensive"></span>10.1% Critical Hit Damage <br/><span class="icon-utility"></span>7.3% Skill Damage	<span class="icon-active"></span>Calculated	Offensive
2021-06-15	gear	header-he	Haven	40	Hybrid FL Gloves	Alps Summit Armaments	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>3249 Armor Regeneration <br/><span class="icon-offensive"></span>9.7% Headshot Damage	-	-
2021-06-15	gear	header-he	Haven	40	Special Operations Mask	Sokolov Concern	Mask	80k	<span class="icon-offensive"></span>11.7% Weapon Damage	<span class="icon-utility"></span>8.3% Status Effects <br/><span class="icon-offensive"></span>6% Weapon Handling	-	Offensive
2021-06-15	gear	header-gs	Clan	40	Klavdiya Sidearm Holder	Aces & Eights	Holster	112k	<span class="icon-offensive"></span>10.2% Weapon Damage	<span class="icon-utility"></span>17.6% Repair Skills  	-	-
2021-06-15	gear	header-gs	Clan	40	Ross Hand Protectors	True Patriot	Gloves	80k	<span class="icon-defensive"></span>132,784 Armor	<span class="icon-offensive"></span>6.0% Weapon Handling  	-	-
2021-06-15	gear	header-gs	Clan	40	Driver Excursion Pack	True Patriot	Backpack	131k	<span class="icon-defensive"></span>137,415 Armor	<span class="icon-defensive"></span>8.1% Explosive Resistance  	<span class="icon-active"></span>Patriotic Boost	Defensive
2021-06-15	gear	header-he	Clan	40	Support Weapons Bag	Petrov Defense Group	Backpack	131k	<span class="icon-offensive"></span>11.7% Weapon Damage	<span class="icon-offensive"></span>7.8% Headshot Damage <br/><span class="icon-defensive"></span>4,130 Armor Regeneration	<span class="icon-active"></span>Creeping Death	Offensive
2021-06-15	gear	header-he	Clan	40	Clutch XO-Skin Sport Pads	Alps Summit Armaments	Kneepads	99k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>16,347 Health <br/><span class="icon-offensive"></span>6.5% Weapon Handling	-	-
2021-06-15	gear	header-he	Clan	40	Durability Gloves Meles	Badger Tuff	Gloves	80k	<span class="icon-defensive"></span>127,530 Armor	<span class="icon-defensive"></span>7.5% Explosive Resistance <br/><span class="icon-offensive"></span>7.6% Headshot Damage	-	-
2021-06-15	gear	header-he	Clan	40	Swag Pack	Empress International	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-offensive"></span>6.5% Headshot Damage <br/><span class="icon-offensive"></span>8.0% Weapon Handling	<span class="icon-active"></span>Composure	Utility
2021-06-15	gear	header-he	Benitez	40	Big Drum Body Armor	Overlord Armaments	Chest	158k	<span class="icon-offensive"></span>11.4% Weapon Damage	<span class="icon-offensive"></span>6% Weapon Handling <br/><span class="icon-offensive"></span>4.7% Critical Hit Chance	<span class="icon-active"></span>Empathic Resolve	Offensive
2021-06-15	gear	header-he	Benitez	40	Faux Leather Mitts	Empress International	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>16.1% Repair Skills <br/><span class="icon-defensive"></span>8.4% Hazard Protection	-	-
2021-06-15	gear	header-he	Benitez	40	Rugged Gun Guard	Empress International	Holster	112k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-offensive"></span>10% Critical Hit Damage <br/><span class="icon-utility"></span>15.4% Repair Skills	-	-
2021-06-15	gear	header-named	DZ West	40	Firm Handshake	Sokolov Concern	Gloves	80k	<span class="icon-offensive"></span>11.7% Weapon Damage	<span class="icon-utility"></span>15.0% Status Effects <br/><span class="icon-offensive"></span>4.2% Critical Hit Chance	-	-
2021-06-15	gear	header-gs	DZ West	40	Medical Grade Tac-Gloves	Eclipse Protocol	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>10.1% Skill Haste  	-	-
2021-06-15	gear	header-gs	DZ West	40	Trombley Kneepads	Tip of the Spear	Kneepads	99k	<span class="icon-offensive"></span>11.2% Weapon Damage	<span class="icon-defensive"></span>7.0% Explosive Resistance  	-	-
2021-06-15	gear	header-he	DZ West	40	Yugake Firearm Gloves	Murakami Industries	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.0% Status Effects <br/><span class="icon-utility"></span>8.6% Skill Damage	-	-
2021-06-15	gear	header-he	DZ West	40	Pivot Pads	Petrov Defense Group	Kneepads	99k	<span class="icon-offensive"></span>12.7% Weapon Damage	<span class="icon-utility"></span>7.6% Skill Damage <br/><span class="icon-defensive"></span>5.7% Explosive Resistance	-	-
2021-06-15	gear	header-named	DZ South	40	Door-Kicker's Knock	Grupo Sombra S.A.	Chest	158k	<span class="icon-offensive"></span>11.0% Weapon Damage	<span class="icon-offensive"></span>9.9% Critical Hit Damage <br/><span class="icon-defensive"></span>7.8% Explosive Resistance	<span class="icon-active"></span>Perfect Spark	Utility
2021-06-15	gear	header-gs	DZ South	40	Hunter's Kit	Hunter's Fury	Backpack	131k	<span class="icon-offensive"></span>10.1% Weapon Damage	<span class="icon-utility"></span>7.8% Skill Damage  	<span class="icon-active"></span>Overwhelming Force	Offensive
2021-06-15	gear	header-gs	DZ South	40	Wright Combat Vest	Tip of the Spear	Chest	158k	<span class="icon-offensive"></span>6.7% Weapon Damage	<span class="icon-offensive"></span>8.0% Weapon Handling  	<span class="icon-active"></span>Specialized Destruction	Offensive
2021-06-15	gear	header-he	DZ South	40	Element Outdoors Rucksack	Alps Summit Armaments	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>7.7% Explosive Resistance <br/><span class="icon-defensive"></span>3,962 Armor Regeneration	<span class="icon-active"></span>Leadership	Utility
2021-06-15	gear	header-he	DZ South	40	Glacier Bay Vest	Yaahl	Chest	158k	<span class="icon-defensive"></span>103,166 Armor	<span class="icon-offensive"></span>7.8% Headshot Damage <br/><span class="icon-defensive"></span>16,329 Health	<span class="icon-active"></span>Braced	Offensive
