DATE	type	rarity	vendor	level	name	attribute_slot	attribute_value	attribute_type
2021-06-01	mod	header-he	シアター	40	Magnetostrictive Material	シールド	1.0	ダメージボーナス(敵1体ごと)
2021-06-01	mod	header-he	シアター	40	Guiding System	ファイアフライ	1.0	最多ターゲット
2021-06-01	mod	header-he	シアター	40	Decoy Housing Shell	デコイ	5.5	HP
2021-06-01	mod	header-offensive	DZサウス	40	Offensive Protocol: Critical	gear	10.1	クリティカルダメージ
2021-06-01	mod	header-he	DZサウス	40	Blitzkrieg Blasting Powder	ドローン	6.5	持続時間
2021-06-01	mod	header-he	DZサウス	40	SHD CPU V.2	タレット	6.1	スキルヘイスト
2021-06-01	mod	header-he	DZサウス	40	Improved Sticky Payload	粘着爆弾	4.9	ブラスト範囲
2021-06-01	mod	header-utility	キャンパス	40	Utility Protocol: Intensity	gear	10.3	スキルヘイスト
2021-06-01	mod	header-he	キャンパス	40	Feed Strip	ケミランチャー	12.9	トラップHP
2021-06-01	mod	header-he	キャンパス	40	Nitroglycerin Mixture	ハイヴ	4.0	修復チャージ
2021-06-01	mod	header-he	キャンパス	40	Distributed Architecture	パルス	8.7	範囲
2021-06-01	mod	header-he	キャンパス	40	Trap Charge Improvement	トラップ	4.1	持続時間
2021-06-01	mod	header-utility	DZイースト	40	Utility Protocol: Intensity	gear	10.1	スキルヘイスト
2021-06-01	mod	header-he	DZイースト	40	Ultra-Thin Cartridges	ケミランチャー	1.0	弾薬
2021-06-01	mod	header-he	DZイースト	40	Nitroglycerin Mixture	ハイヴ	4.0	修復チャージ
2021-06-01	mod	header-he	DZイースト	40	Silicon Carbide Coil	パルス	6.4	コーンサイズ
2021-06-01	mod	header-utility	キャシー	40	Utility Protocol: Intensity	gear	10.5	スキルヘイスト
2021-06-01	mod	header-he	キャシー	40	Chromatics Training	ケミランチャー	6.6	炎上強度
2021-06-08	mod	header-offensive	ホワイトハウス	40	Offensive Protocol: Critical	gear	7.2	ヘッドショットダメージ上昇
2021-06-08	mod	header-he	ホワイトハウス	40	Reinforced Rotor Blades	ドローン	8.6	HP
2021-06-08	mod	header-he	ホワイトハウス	40	Lubrication Gel	タレット	4.1	炎上ダメージ
2021-06-08	mod	header-he	ホワイトハウス	40	Improved Sticky Payload	粘着爆弾	6.4	ダメージ
2021-06-08	mod	header-utility	クランショップ	40	Utility System: Electronics	gear	10.6	スキルヘイスト
2021-06-08	mod	header-he	クランショップ	40	Nickel-Chromium Wire	パルス	8.9	範囲
2021-06-08	mod	header-he	クランショップ	40	Sturdy Piston	マイン	4.5	ダメージ
2021-06-08	mod	header-he	クランショップ	40	Heating Mantle	パルス	16.1	HP
2021-06-08	mod	header-defensive	シアター	40	Defensive System: Mending	gear	8.3	トラップ耐性
2021-06-08	mod	header-he	シアター	40	Mini Electric Motor	マイン	4.2	範囲
2021-06-08	mod	header-he	シアター	40	Cementitious Material	シールド	4.1	シールドHP
2021-06-08	mod	header-he	シアター	40	Tungsten Compound	ファイアフライ	5.9	視覚奪取効果持続時間
2021-06-08	mod	header-he	シアター	40	Decoy Housing Shell	デコイ	6.0	HP
2021-06-08	mod	header-utility	キャンパス	40	Utility System: Electronics	gear	16.6	スキル修復
2021-06-08	mod	header-he	キャンパス	40	Pharmacokinetic Enhancer	ケミランチャー	5.9	スキルヘイスト
2021-06-08	mod	header-he	キャンパス	40	Polycarbonate Housing	ハイヴ	4.2	持続時間
2021-06-08	mod	header-he	キャンパス	40	Super Glue	パルス	14.9	HP
2021-06-08	mod	header-he	キャンパス	40	Trap Electronics Upgrade	トラップ	6.1	ショック範囲
2021-06-08	mod	header-defensive	DZウエスト	40	Defensive Protocol: Stamina	gear	8.3	炎上耐性
2021-06-08	mod	header-he	DZウエスト	40	Mini Electric Motor	マイン	4.2	ダメージ
2021-06-08	mod	header-he	DZウエスト	40	Synthetic Mineral Frame	シールド	4.2	ディフレクターダメージ
2021-06-08	mod	header-he	DZウエスト	40	Micro Conduits	ファイアフライ	7.8	スピード
2021-06-08	mod	header-he	DZウエスト	40	Decoy Housing Shell	デコイ	6.0	HP
2021-06-08	mod	header-offensive	DZサウス	40	Offensive Protocol: Critical	gear	4.5	クリティカル率
2021-06-08	mod	header-he	DZサウス	40	Graphene Battery	ドローン	6.4	偏向持続時間
2021-06-08	mod	header-he	DZサウス	40	Ammo Box	タレット	5.9	持続時間
2021-06-08	mod	header-he	DZサウス	40	Improved Sticky Launcher	粘着爆弾	5.0	ブラスト範囲
2021-06-08	mod	header-utility	DZイースト	40	Utility Protocol: Intensity	gear	15.6	スキル修復
2021-06-08	mod	header-he	DZイースト	40	Feed Strip	ケミランチャー	5.9	回復
2021-06-08	mod	header-he	DZイースト	40	Extra Payload	ハイヴ	8.2	リバイバーアーマー修復
2021-06-08	mod	header-he	DZイースト	40	Heating Mantle	パルス	15.1	HP
2021-06-08	mod	header-he	DZイースト	40	Trap Charge Improvement	トラップ	4.3	持続時間
2021-06-08	mod	header-defensive	ヘイヴン	40	Defensive System: Mending	gear	15165.0	キルによるアーマー
2021-06-08	mod	header-utility	ヘイヴン	40	Utility Protocol: Intensity	gear	9.9	スキルヘイスト
2021-06-08	mod	header-he	ヘイヴン	40	Ammo Box	タレット	1.0	追加スナイパー弾薬
2021-06-08	mod	header-he	ヘイヴン	40	Unstable Oscillator	パルス	8.5	範囲
2021-06-08	mod	header-he	ヘイヴン	40	Improved Sticky Payload	粘着爆弾	4.7	ブラスト範囲
2021-06-08	mod	header-utility	ベニテス	40	Utility System: Assist	gear	10.3	スキルヘイスト
2021-06-08	mod	header-utility	ベニテス	40	Utility Protocol: Intensity	gear	8.5	スキル持続時間
2021-06-08	mod	header-he	ベニテス	40	Gaffer Tape	ドローン	6.2	アーマー修理
2021-06-08	mod	header-he	ベニテス	40	RAM Surplus	ファイアフライ	1.0	最多ターゲット
2021-06-08	mod	header-he	ベニテス	40	Decoy Projector Internals	デコイ	6.0	持続時間
2021-06-08	mod	header-utility	キャシー	40	Utility System: Electronics	gear	10.6	スキルヘイスト
2021-06-08	mod	header-he	キャシー	40	Nickel-Chromium Wire	パルス	8.9	範囲
2021-06-15	mod	header-offensive	ホワイトハウス	40	Offensive Protocol: Critical	gear	4.3	クリティカル率
2021-06-15	mod	header-he	ホワイトハウス	40	Blitzkrieg Blasting Powder	ドローン	6.4	持続時間
2021-06-15	mod	header-he	ホワイトハウス	40	Magnetic Rail	タレット	4.2	炎上ダメージ
2021-06-15	mod	header-he	ホワイトハウス	40	Improved Sticky Payload	粘着爆弾	5.0	ブラスト範囲
2021-06-15	mod	header-utility	ヘイヴン	40	Utility Protocol: Assist	gear	8.4	スキル持続時間
2021-06-15	mod	header-defensive	ヘイヴン	40	Defensive Protocol: Resilience	gear	8.5	混乱耐性
2021-06-15	mod	header-he	ヘイヴン	40	Explosive Requisition	ドローン	2.0	追加爆弾
2021-06-15	mod	header-he	ヘイヴン	40	Hardened Casing	ファイアフライ	5.7	スキルヘイスト
2021-06-15	mod	header-he	ヘイヴン	40	Improved Sticky Payload	粘着爆弾	4.0	炎上持続時間
2021-06-15	mod	header-offensive	クランショップ	40	Offensive System: Firearms	gear	10.4	クリティカルダメージ
2021-06-15	mod	header-he	クランショップ	40	Nickel-Chromium Wire	パルス	6.6	コーンサイズ
2021-06-15	mod	header-he	クランショップ	40	Ultra-Thin Cartridges	ケミランチャー	6.2	範囲
2021-06-15	mod	header-he	クランショップ	40	Russian Doll Protocol	マイン	4.5	ダメージ
2021-06-15	mod	header-utility	ベニテス	40	Utility Protocol: Electronics	gear	10.1	スキルヘイスト
2021-06-15	mod	header-offensive	ベニテス	40	Offensive Protocol: Critical	gear	4.7	クリティカル率
2021-06-15	mod	header-he	ベニテス	40	Cyclone Magazine	タレット	4.1	炎上ダメージ
2021-06-15	mod	header-he	ベニテス	40	Nickel-Chromium Wire	パルス	6.3	コーンサイズ
2021-06-15	mod	header-he	ベニテス	40	Improved Sticky Payload	粘着爆弾	6.4	ダメージ
2021-06-15	mod	header-defensive	DZウエスト	40	Defensive Protocol: Resilience	gear	11.0	対エリート防御
2021-06-15	mod	header-he	DZウエスト	40	Russian Doll Protocol	マイン	4.9	スキルヘイスト
2021-06-15	mod	header-he	DZウエスト	40	Adaptive Insulation Foam	シールド	4.2	アクティブ自動回復
2021-06-15	mod	header-he	DZウエスト	40	Propantriol Adhesive	ファイアフライ	5.7	ダメージ
2021-06-15	mod	header-he	DZウエスト	40	Decoy Projector Internals	デコイ	5.5	持続時間
2021-06-15	mod	header-utility	キャンパス	40	Utility Protocol: Assist	gear	8.5	スキル持続時間
2021-06-15	mod	header-he	キャンパス	40	Ecotoxicology Research	ケミランチャー	1.0	弾薬
2021-06-15	mod	header-he	キャンパス	40	Steel Harness	ハイヴ	4.0	修復チャージ
2021-06-15	mod	header-he	キャンパス	40	Atmospheric Analyzer	パルス	4.8	スキルヘイスト
2021-06-15	mod	header-he	キャンパス	40	Trap Electronics Upgrade	トラップ	6.1	持続時間
2021-06-15	mod	header-offensive	DZサウス	40	Offensive Protocol: Critical	gear	4.4	クリティカル率
2021-06-15	mod	header-he	DZサウス	40	Reinforced Rotor Blades	ドローン	8.0	スキャン範囲
2021-06-15	mod	header-he	DZサウス	40	Weather Coating	タレット	7.9	HP
2021-06-15	mod	header-he	DZサウス	40	Improved Sticky Payload	粘着爆弾	6.3	ダメージ
2021-06-15	mod	header-defensive	シアター	40	Defensive Protocol: Stamina	gear	8.5	混乱耐性
2021-06-15	mod	header-he	シアター	40	Russian Doll Protocol	マイン	4.3	ダメージ
2021-06-15	mod	header-he	シアター	40	Smart UHMWPE Lexicon	シールド	4.2	ディフレクターダメージ
2021-06-15	mod	header-he	シアター	40	Tungsten Compound	ファイアフライ	6.0	視覚奪取効果持続時間
2021-06-15	mod	header-he	シアター	40	Decoy Housing Shell	デコイ	5.5	HP
2021-06-15	mod	header-utility	DZイースト	40	Utility Protocol: Intensity	gear	16.2	スキル修復
2021-06-15	mod	header-he	DZイースト	40	Cell Penetrating Peptide	ケミランチャー	4.2	ダメージ
2021-06-15	mod	header-he	DZイースト	40	Backpack Battery	ハイヴ	4.2	持続時間
2021-06-15	mod	header-he	DZイースト	40	Unstable Oscillator	パルス	6.2	コーンサイズ
2021-06-15	mod	header-he	DZイースト	40	Trap Charge Improvement	トラップ	4.3	持続時間
2021-06-15	mod	header-offensive	キャシー	40	Offensive System: Firearms	gear	10.4	クリティカルダメージ
2021-06-15	mod	header-he	キャシー	40	Nickel-Chromium Wire	パルス	6.6	コーンサイズ
2021-06-22	mod	header-offensive	ホワイトハウス	40	Offensive System: Dexterity	gear	10.3	クリティカルダメージ
2021-06-22	mod	header-he	ホワイトハウス	40	Additional Ordnance	ドローン	4.2	ダメージ
2021-06-22	mod	header-he	ホワイトハウス	40	Lubrication Gel	タレット	4.2	ダメージ
2021-06-22	mod	header-he	ホワイトハウス	40	Improved Sticky Launcher	粘着爆弾	4.9	範囲
2021-06-22	mod	header-offensive	クランショップ	40	Offensive System: Firearms	gear	10.4	クリティカルダメージ
2021-06-22	mod	header-defensive	クランショップ	40	Defensive System: Mending	gear	8.6	トラップ耐性
2021-06-22	mod	header-defensive	クランショップ	40	Defensive Protocol: Resilience	gear	8.7	視聴覚ダメージ耐性
2021-06-22	mod	header-he	クランショップ	40	Ecotoxicology Research	ケミランチャー	4.3	持続時間
2021-06-22	mod	header-defensive	シアター	40	Defensive System: Mending	gear	15517.0	キルによるアーマー
2021-06-22	mod	header-he	シアター	40	Larrea Tridentata Infusion	マイン	4.7	スキルヘイスト
2021-06-22	mod	header-he	シアター	40	Supramolecular Networks	シールド	4.1	ディフレクターダメージ
2021-06-22	mod	header-he	シアター	40	Guiding System	ファイアフライ	1.0	最多ターゲット
2021-06-22	mod	header-he	シアター	40	Decoy Projector Internals	デコイ	6.0	持続時間
2021-06-22	mod	header-utility	キャンパス	40	Utility Protocol: Intensity	gear	16.2	スキル修復
2021-06-22	mod	header-he	キャンパス	40	Pharmacokinetic Enhancer	ケミランチャー	1.0	弾薬
2021-06-22	mod	header-he	キャンパス	40	Internal Storage	ハイヴ	4.0	スティンガーチャージ
2021-06-22	mod	header-he	キャンパス	40	Heating Mantle	パルス	8.9	効果持続時間
2021-06-22	mod	header-he	キャンパス	40	Trap Charge Improvement	トラップ	4.3	持続時間
2021-06-22	mod	header-defensive	DZウエスト	40	Defensive Protocol: Resilience	gear	8.2	電波妨害耐性
2021-06-22	mod	header-he	DZウエスト	40	Ball Bearings	マイン	6.3	HP
2021-06-22	mod	header-he	DZウエスト	40	Liquid Nitrogen Cooling System	シールド	4.0	ダメージボーナス(敵1体ごと)
2021-06-22	mod	header-he	DZウエスト	40	Vac Pack	ファイアフライ	6.1	ダメージ
2021-06-22	mod	header-he	DZウエスト	40	Decoy Projector Internals	デコイ	6.0	持続時間
2021-06-22	mod	header-offensive	DZサウス	40	Offensive Protocol: Critical	gear	6.9	ヘッドショットダメージ上昇
2021-06-22	mod	header-he	DZサウス	40	Electric Soldering Tool	ドローン	6.4	持続時間
2021-06-22	mod	header-he	DZサウス	40	SHD CPU V.2	タレット	5.8	スキルヘイスト
2021-06-22	mod	header-he	DZサウス	40	Improved Sticky Payload	粘着爆弾	6.4	ダメージ
2021-06-22	mod	header-utility	DZイースト	40	Utility System: Electronics	gear	8.2	スキル持続時間
2021-06-22	mod	header-he	DZイースト	40	Disintegrating Links	ケミランチャー	5.8	範囲
2021-06-22	mod	header-he	DZイースト	40	Nitroglycerin Mixture	ハイヴ	4.0	修復チャージ
2021-06-22	mod	header-he	DZイースト	40	Distributed Architecture	パルス	6.4	コーンサイズ
2021-06-22	mod	header-he	DZイースト	40	Trap Electronics Upgrade	トラップ	5.8	ショック範囲
2021-06-22	mod	header-offensive	ヘイヴン	40	Offensive System: Firearms	gear	7.0	ヘッドショットダメージ上昇
2021-06-22	mod	header-defensive	ヘイヴン	40	Defensive Protocol: Resilience	gear	8.5	出血耐性
2021-06-22	mod	header-he	ヘイヴン	40	Cyclone Magazine	タレット	4.2	炎上ダメージ
2021-06-22	mod	header-he	ヘイヴン	40	Micro Conduits	ファイアフライ	8.3	スピード
2021-06-22	mod	header-he	ヘイヴン	40	Trap Electronics Upgrade	トラップ	5.8	持続時間
2021-06-22	mod	header-offensive	ベニテス	40	Offensive System: Dexterity	gear	4.4	クリティカル率
2021-06-22	mod	header-defensive	ベニテス	40	Defensive Protocol: Stamina	gear	8.4	視聴覚ダメージ耐性
2021-06-22	mod	header-he	ベニテス	40	Smart UHMWPE Lexicon	シールド	4.3	ホルスタード自動回復
2021-06-22	mod	header-he	ベニテス	40	Cooling Vents	ハイヴ	4.0	修復チャージ
2021-06-22	mod	header-he	ベニテス	40	Improved Sticky Launcher	粘着爆弾	4.8	ブラスト範囲
2021-06-22	mod	header-offensive	キャシー	40	Offensive System: Firearms	gear	10.4	クリティカルダメージ
2021-06-22	mod	header-he	キャシー	40	Thermoresponsive Polymer	シールド	1.0	ダメージボーナス(敵1体ごと)
2021-06-29	mod	header-offensive	ホワイトハウス	40	Offensive System: Dexterity	gear	10.1	クリティカルダメージ
2021-06-29	mod	header-he	ホワイトハウス	40	Reinforced Rotor Blades	ドローン	2.0	追加爆弾
2021-06-29	mod	header-he	ホワイトハウス	40	Weather Coating	タレット	1.0	追加スナイパー弾薬
2021-06-29	mod	header-he	ホワイトハウス	40	Improved Sticky Payload	粘着爆弾	6.3	ダメージ
2021-06-29	mod	header-utility	クランショップ	40	Utility System: Electronics	gear	17.6	スキル修復
2021-06-29	mod	header-defensive	クランショップ	40	Defensive Protocol: Stamina	gear	11.0	対エリート防御
2021-06-29	mod	header-offensive	クランショップ	40	Offensive System: Dexterity	gear	7.6	ヘッドショットダメージ上昇
2021-06-29	mod	header-he	クランショップ	40	Explosive Requisition	ドローン	8.4	スキャン範囲
2021-06-29	mod	header-defensive	シアター	40	Defensive System: Mending	gear	8.2	出血耐性
2021-06-29	mod	header-he	シアター	40	Phosphorus Ingredient	マイン	1.0	クラスターマイン
2021-06-29	mod	header-he	シアター	40	Thermoresponsive Polymer	シールド	4.1	ホルスタード自動回復
2021-06-29	mod	header-he	シアター	40	Guiding System	ファイアフライ	1.0	最多ターゲット
2021-06-29	mod	header-he	シアター	40	Decoy Projector Internals	デコイ	6.0	持続時間
2021-06-29	mod	header-utility	キャンパス	40	Utility System: Electronics	gear	10.1	スキルヘイスト
2021-06-29	mod	header-he	キャンパス	40	Disintegrating Links	ケミランチャー	4.3	持続時間
2021-06-29	mod	header-he	キャンパス	40	Radar Signal Antennas	ハイヴ	8.2	スティム効率
2021-06-29	mod	header-he	キャンパス	40	Nickel-Chromium Wire	パルス	6.2	コーンサイズ
2021-06-29	mod	header-he	キャンパス	40	Trap Charge Improvement	トラップ	4.3	持続時間
2021-06-29	mod	header-defensive	DZウエスト	40	Defensive Protocol: Resilience	gear	8.5	トラップ耐性
2021-06-29	mod	header-he	DZウエスト	40	Larrea Tridentata Infusion	マイン	4.7	スキルヘイスト
2021-06-29	mod	header-he	DZウエスト	40	Titanium Reinforcement	シールド	4.3	シールドHP
2021-06-29	mod	header-he	DZウエスト	40	Propantriol Adhesive	ファイアフライ	5.7	ダメージ
2021-06-29	mod	header-he	DZウエスト	40	Decoy Housing Shell	デコイ	6.0	HP
2021-06-29	mod	header-offensive	DZサウス	40	Offensive Protocol: Critical	gear	9.9	クリティカルダメージ
2021-06-29	mod	header-he	DZサウス	40	Explosive Requisition	ドローン	7.9	スキャン範囲
2021-06-29	mod	header-he	DZサウス	40	SHD CPU V.2	タレット	5.9	スキルヘイスト
2021-06-29	mod	header-he	DZサウス	40	Improved Sticky Launcher	粘着爆弾	4.2	スキルヘイスト
2021-06-29	mod	header-utility	DZイースト	40	Utility Protocol: Intensity	gear	10.2	スキルヘイスト
2021-06-29	mod	header-he	DZイースト	40	Liquid Nitrogen Cooling System	ケミランチャー	1.0	弾薬
2021-06-29	mod	header-he	DZイースト	40	Swarm Control	ハイヴ	7.4	HP
2021-06-29	mod	header-he	DZイースト	40	Atmospheric Analyzer	パルス	8.5	効果持続時間
2021-06-29	mod	header-he	DZイースト	40	Trap Charge Improvement	トラップ	4.3	持続時間
2021-06-29	mod	header-offensive	ヘイヴン	40	Offensive System: Dexterity	gear	4.4	クリティカル率
2021-06-29	mod	header-offensive	ヘイヴン	40	Offensive Protocol: Critical	gear	6.9	ヘッドショットダメージ上昇
2021-06-29	mod	header-he	ヘイヴン	40	Sturdy Piston	マイン	4.9	スキルヘイスト
2021-06-29	mod	header-he	ヘイヴン	40	Feed Strip	ケミランチャー	6.2	炎上強度
2021-06-29	mod	header-he	ヘイヴン	40	Improved Sticky Launcher	粘着爆弾	4.3	スキルヘイスト
2021-06-29	mod	header-defensive	ベニテス	40	Defensive System: Mending	gear	8.3	炎上耐性
2021-06-29	mod	header-utility	ベニテス	40	Utility Protocol: Intensity	gear	10.2	スキルヘイスト
2021-06-29	mod	header-he	ベニテス	40	Weather Coating	タレット	7.8	HP
2021-06-29	mod	header-he	ベニテス	40	Network Firewall	ハイヴ	7.3	HP
2021-06-29	mod	header-he	ベニテス	40	Trap Electronics Upgrade	トラップ	6.1	持続時間
2021-06-29	mod	header-utility	キャシー	40	Utility System: Electronics	gear	17.6	スキル修復
2021-06-29	mod	header-he	キャシー	40	Nickel-Chromium Wire	パルス	8.9	範囲
2021-07-06	mod	header-offensive	ホワイトハウス	40	Offensive System: Firearms	gear	7.0	ヘッドショットダメージ上昇
2021-07-06	mod	header-he	ホワイトハウス	40	Electric Soldering Tool	ドローン	6.5	持続時間
2021-07-06	mod	header-he	ホワイトハウス	40	Magnetic Rail	タレット	4.1	ダメージ
2021-07-06	mod	header-he	ホワイトハウス	40	Improved Sticky Payload	粘着爆弾	6.5	ダメージ
2021-07-06	mod	header-utility	クランショップ	40	Utility System: Assist	gear	17.4	スキル修復
2021-07-06	mod	header-he	クランショップ	40	Cooling Vents	ハイヴ	4.0	修復チャージ
2021-07-06	mod	header-he	クランショップ	40	Super Glue	パルス	9.1	効果持続時間
2021-07-06	mod	header-he	クランショップ	40	Tungsten Compound	ファイアフライ	6.1	視覚奪取効果持続時間
2021-07-06	mod	header-defensive	シアター	40	Defensive System: Mending	gear	11.0	対エリート防御
2021-07-06	mod	header-he	シアター	40	Ball Bearings	マイン	1.0	クラスターマイン
2021-07-06	mod	header-he	シアター	40	Cementitious Material	シールド	4.3	シールドHP
2021-07-06	mod	header-he	シアター	40	Propantriol Adhesive	ファイアフライ	6.1	ダメージ
2021-07-06	mod	header-he	シアター	40	Decoy Housing Shell	デコイ	6.0	HP
2021-07-06	mod	header-utility	キャンパス	40	Utility Protocol: Intensity	gear	10.0	スキルヘイスト
2021-07-06	mod	header-he	キャンパス	40	Chromatics Training	ケミランチャー	6.1	回復
2021-07-06	mod	header-he	キャンパス	40	Radar Signal Antennas	ハイヴ	8.2	スティム効率
2021-07-06	mod	header-he	キャンパス	40	Atmospheric Analyzer	パルス	8.6	効果持続時間
2021-07-06	mod	header-he	キャンパス	40	Trap Charge Improvement	トラップ	4.2	持続時間
2021-07-06	mod	header-defensive	DZウエスト	40	Defensive Protocol: Stamina	gear	8.2	電波妨害耐性
2021-07-06	mod	header-he	DZウエスト	40	Sturdy Piston	マイン	4.8	スキルヘイスト
2021-07-06	mod	header-he	DZウエスト	40	Supramolecular Networks	シールド	4.0	ダメージボーナス(敵1体ごと)
2021-07-06	mod	header-he	DZウエスト	40	Alignment Valve	ファイアフライ	7.8	スピード
2021-07-06	mod	header-he	DZウエスト	40	Decoy Projector Internals	デコイ	6.0	持続時間
2021-07-06	mod	header-offensive	DZサウス	40	Offensive System: Dexterity	gear	4.4	クリティカル率
2021-07-06	mod	header-he	DZサウス	40	Blitzkrieg Blasting Powder	ドローン	6.2	持続時間
2021-07-06	mod	header-he	DZサウス	40	SHD CPU V.2	タレット	5.9	持続時間
2021-07-06	mod	header-he	DZサウス	40	Improved Sticky Launcher	粘着爆弾	4.3	スキルヘイスト
2021-07-06	mod	header-utility	DZイースト	40	Utility System: Assist	gear	10.1	スキルヘイスト
2021-07-06	mod	header-he	DZイースト	40	Chromatics Training	ケミランチャー	5.7	回復
2021-07-06	mod	header-he	DZイースト	40	Extra Payload	ハイヴ	4.3	ダメージ
2021-07-06	mod	header-he	DZイースト	40	Atmospheric Analyzer	パルス	8.7	効果持続時間
2021-07-06	mod	header-he	DZイースト	40	Trap Charge Improvement	トラップ	4.3	持続時間
2021-07-06	mod	header-defensive	ヘイヴン	40	Defensive System: Mending	gear	8.5	出血耐性
2021-07-06	mod	header-utility	ヘイヴン	40	Utility Protocol: Intensity	gear	16.2	スキル修復
2021-07-06	mod	header-he	ヘイヴン	40	Lubrication Gel	タレット	4.3	ダメージ
2021-07-06	mod	header-he	ヘイヴン	40	Experimental Blend	ハイヴ	8.5	スティム効率
2021-07-06	mod	header-he	ヘイヴン	40	Trap Electronics Upgrade	トラップ	6.0	持続時間
2021-07-06	mod	header-utility	ベニテス	40	Utility System: Assist	gear	16.4	スキル修復
2021-07-06	mod	header-utility	ベニテス	40	Utility Protocol: Intensity	gear	8.5	スキル持続時間
2021-07-06	mod	header-he	ベニテス	40	Larrea Tridentata Infusion	マイン	4.3	ダメージ
2021-07-06	mod	header-he	ベニテス	40	Feed Strip	ケミランチャー	4.1	ダメージ
2021-07-06	mod	header-he	ベニテス	40	Decoy Projector Internals	デコイ	5.5	持続時間
2021-07-06	mod	header-utility	キャシー	40	Utility Protocol: Assist	gear	17.4	スキル修復
2021-07-06	mod	header-he	キャシー	40	Cooling Vents	ハイヴ	4.0	修復チャージ
2021-07-13	mod	header-offensive	ホワイトハウス	40	Offensive System: Dexterity	gear	7.4	ヘッドショットダメージ上昇
2021-07-13	mod	header-he	ホワイトハウス	40	Graphene Battery	ドローン	6.4	持続時間
2021-07-13	mod	header-he	ホワイトハウス	40	Cyclone Magazine	タレット	4.1	炎上ダメージ
2021-07-13	mod	header-he	ホワイトハウス	40	Improved Sticky Launcher	粘着爆弾	4.3	スキルヘイスト
2021-07-13	mod	header-defensive	クランショップ	40	Defensive Protocol: Resilience	gear	16849.0	キルによるアーマー
2021-07-13	mod	header-he	クランショップ	40	Carbon Fiber Frame	ドローン	8.4	スキャン範囲
2021-07-13	mod	header-offensive	クランショップ	40	Offensive System: Dexterity	gear	4.7	クリティカル率
2021-07-13	mod	header-he	クランショップ	40	PVA Polymer Coating	ケミランチャー	6.5	炎上強度
2021-07-13	mod	header-defensive	シアター	40	Defensive System: Mending	gear	16020.0	キルによるアーマー
2021-07-13	mod	header-he	シアター	40	RDX Pellet Payload	マイン	6.1	回復
2021-07-13	mod	header-he	シアター	40	Thermoresponsive Polymer	シールド	4.3	ホルスタード自動回復
2021-07-13	mod	header-he	シアター	40	Guiding System	ファイアフライ	1.0	最多ターゲット
2021-07-13	mod	header-he	シアター	40	Decoy Housing Shell	デコイ	6.0	HP
2021-07-13	mod	header-utility	キャンパス	40	Utility Protocol: Intensity	gear	16.6	スキル修復
