DATE	type	rarity	vendor	level	name	dmg	rpm	mag	talent	attribute1	attribute2	attribute3
2025-11-25	weapon	header-named	The Campus	40	Quiet Roar - Stoner LAMG	47,952	580	200	Perfectly Overflowing	<span class="icon-weapons"></span>10% LMG Damage	<span class="icon-weapons"></span>8% Damage Out of Cover	<span class="icon-weapons"></span>12.9% Swap Speed
2025-11-25	weapon	header-he	The Campus	40	Model 700	399,602	54	7	Thunder Strike	<span class="icon-weapons"></span>9.8% MMR Damage	<span class="icon-weapons"></span>106% Headshot Damage	<span class="icon-weapons"></span>7.8% Accuracy
2025-11-25	weapon	header-he	The Campus	40	Custom L86 A2	59,705	610	30	Ignited	<span class="icon-weapons"></span>10.8% LMG Damage	<span class="icon-weapons"></span>9% Damage Out of Cover	<span class="icon-weapons"></span>8.6% Stability
2025-11-25	weapon	header-he	The Castle	40	G28	146,677	275	20	Breadbasket	<span class="icon-weapons"></span>9.1% MMR Damage	<span class="icon-weapons"></span>105% Headshot Damage	<span class="icon-weapons"></span>7.3% Accuracy
2025-11-25	weapon	header-he	The Castle	40	Military L86 LSW	59,705	610	30	Fast Hands	<span class="icon-weapons"></span>10% LMG Damage	<span class="icon-weapons"></span>8% Damage Out of Cover	<span class="icon-weapons"></span>9% Headshot Damage
2025-11-25	weapon	header-he	DZ West	40	SIX12	451,314	170	6	Strained	<span class="icon-weapons"></span>10.6% Shotgun Damage	<span class="icon-weapons"></span>8% Damage to Armor	<span class="icon-weapons"></span>16.5% Optimal Range
2025-11-25	weapon	header-he	DZ West	40	M1A CQB	156,080	320	10	Spike	<span class="icon-weapons"></span>9.6% Rifle Damage	<span class="icon-weapons"></span>13% Critical Hit Damage	<span class="icon-weapons"></span>5% Damage to Armor
2025-11-25	weapon	header-named	DZ South	40	TDI "Kard" Custom	109,068	310	18		<span class="icon-weapons"></span>10.8% Pistol Damage	<span class="icon-weapons"></span>1% Skill Tier	-
2025-11-25	weapon	header-he	DZ South	40	Tactical AUG A3P	57,825	725	25	Pressure Point	<span class="icon-weapons"></span>13.2% SMG Damage	<span class="icon-weapons"></span>5.5% Critical Hit Chance	<span class="icon-weapons"></span>10% Headshot Damage
2025-11-25	weapon	header-he	DZ South	40	G36 Enhanced	48,892	750	30	Sledgehammer	<span class="icon-weapons"></span>10.7% AR Damage	<span class="icon-weapons"></span>17% Health Damage	<span class="icon-weapons"></span>6% Damage Out of Cover
2025-11-25	weapon	header-he	DZ South	40	KARD-45	109,068	310	7	Determined	<span class="icon-weapons"></span>10.5% Pistol Damage	<span class="icon-weapons"></span>5% Damage to Armor	-
2025-11-25	weapon	header-named	DZ East	40	The White Death - Classic M44 Carbine	423,108	55	5	Pressure Point	<span class="icon-weapons"></span>10.4% MMR Damage	<span class="icon-weapons"></span>137% Headshot Damage	<span class="icon-weapons"></span>15.5% Optimal Range
2025-11-25	weapon	header-he	DZ East	40	SRS A1	338,957	60	7	Sadist	<span class="icon-weapons"></span>11.4% MMR Damage	<span class="icon-weapons"></span>94% Headshot Damage	<span class="icon-weapons"></span>6% Critical Hit Damage
2025-11-25	weapon	header-he	DZ East	40	Military MK46	56,414	550	100	Steady Handed	<span class="icon-weapons"></span>12.8% LMG Damage	<span class="icon-weapons"></span>7% Damage Out of Cover	<span class="icon-weapons"></span>12.7% Swap Speed
2025-11-25	weapon	header-he	Haven	40	AUG A3 Para XS	57,825	725	25	Eyeless	<span class="icon-weapons"></span>11.3% SMG Damage	<span class="icon-weapons"></span>15% Critical Hit Chance	<span class="icon-weapons"></span>9% Magazine Size
2025-11-25	weapon	header-he	Haven	40	Custom M44	376,096	65	5	Lucky Shot	<span class="icon-weapons"></span>12.2% MMR Damage	<span class="icon-weapons"></span>98% Headshot Damage	<span class="icon-weapons"></span>10.9% Swap Speed
2025-11-25	weapon	header-he	Haven	40	Urban MDR	97,785	360	20	Thunder Strike	<span class="icon-weapons"></span>11% Rifle Damage	<span class="icon-weapons"></span>11% Critical Hit Damage	<span class="icon-weapons"></span>6% Damage to Armor
2025-11-25	weapon	header-he	Haven	40	Police 686 Magnum	190,339	160	6	Determined	<span class="icon-weapons"></span>12.1% Pistol Damage	<span class="icon-weapons"></span>11.7% Swap Speed	-
2025-11-25	weapon	header-he	Benitez	40	TKB-480		650	30	Streamline	<span class="icon-weapons"></span>12.1% AR Damage	<span class="icon-weapons"></span>15.5% Health Damage	<span class="icon-weapons"></span>5% Damage to Armor
2025-11-25	weapon	header-he	Benitez	40	M700 Tactical	376,096	54	7	Ranger	<span class="icon-weapons"></span>10% MMR Damage	<span class="icon-weapons"></span>93% Headshot Damage	<span class="icon-weapons"></span>6% Damage to Armor
2025-11-25	weapon	header-he	Benitez	40	M1A CQB	156,080	320	10	Perpetuation	<span class="icon-weapons"></span>15% Rifle Damage	<span class="icon-weapons"></span>10% Critical Hit Damage	<span class="icon-weapons"></span>5.5% Health Damage
2025-11-25	weapon	header-he	Benitez	40	X-45	76,630	400	10	Breadbasket	<span class="icon-weapons"></span>10.9% Pistol Damage	<span class="icon-weapons"></span>9% Headshot Damage	-
2025-11-25	weapon	header-he	The Bridge	40	SIG 556	50,773	720	30	Perpetuation	<span class="icon-weapons"></span>10.3% AR Damage	<span class="icon-weapons"></span>14% Health Damage	<span class="icon-weapons"></span>9% Headshot Damage
2025-11-25	weapon	header-he	The Bridge	40	G28	146,677	275	20	Ignited	<span class="icon-weapons"></span>11.9% MMR Damage	<span class="icon-weapons"></span>73% Headshot Damage	<span class="icon-weapons"></span>7.5% Critical Hit Chance
2025-11-25	weapon	header-he	The Bridge	40	SPAS-12	646,883	70	8	Perpetuation	<span class="icon-weapons"></span>10.9% Shotgun Damage	<span class="icon-weapons"></span>9% Damage to Armor	<span class="icon-weapons"></span>7% Health Damage
2025-11-25	weapon	header-he	The Bridge	40	X-45	76,630	400	10	Future Perfect	<span class="icon-weapons"></span>9.8% Pistol Damage	<span class="icon-weapons"></span>6% Damage to Armor	-
2025-11-25	weapon	header-named	Cassie	40	Baker's Dozen - Classic M1A	205,442	180	10	Perfect Lucky Shot	<span class="icon-weapons"></span>15% Rifle Damage	<span class="icon-weapons"></span>9% Critical Hit Damage	<span class="icon-weapons"></span>7.5% Critical Hit Chance
2025-11-25	weapon	header-named	Cassie	40	Shield Splinterer - F2000	45,132	850	30	Perfect Optimist	<span class="icon-weapons"></span>13.5% AR Damage	<span class="icon-weapons"></span>17% Health Damage	<span class="icon-weapons"></span>18.5% Optimal Range
2025-11-25	weapon	header-named	Cassie	40	Huntsman - FAMAS 2010	44,191	900	30	Perfect Frenzy	<span class="icon-weapons"></span>9.9% AR Damage	<span class="icon-weapons"></span>18.5% Health Damage	<span class="icon-weapons"></span>8% Damage Out of Cover
2025-11-25	weapon	header-he	Cassie	40	MP7	47,952	950	40	Streamline	<span class="icon-weapons"></span>10.7% SMG Damage	<span class="icon-weapons"></span>21% Critical Hit Chance	<span class="icon-weapons"></span>7% Damage Out of Cover
2025-11-25	weapon	header-he	Cassie	40	SOCOM Mk20 SSR	143,857	275	20	Sadist	<span class="icon-weapons"></span>14.3% MMR Damage	<span class="icon-weapons"></span>93% Headshot Damage	<span class="icon-weapons"></span>12.5% Swap Speed
2025-12-02	weapon	header-he	White House	40	Tactical Vector SBR 9mm	42,311	1200	19	Spike	<span class="icon-weapons"></span>12% SMG Damage	<span class="icon-weapons"></span>14.5% Critical Hit Chance	<span class="icon-weapons"></span>7% Health Damage
2025-12-02	weapon	header-he	White House	40	Military P416	47,952	750	30	Measured	<span class="icon-weapons"></span>10.5% AR Damage	<span class="icon-weapons"></span>14.5% Health Damage	<span class="icon-weapons"></span>3.7% Rate of Fire
2025-12-02	weapon	header-he	White House	40	Police 686 Magnum	190,339	160	6	Close & Personal	<span class="icon-weapons"></span>10.2% Pistol Damage	<span class="icon-weapons"></span>8.2% Reload Speed	-
2025-12-02	weapon	header-named	Clan	40	Goalie	56,885	650	20	Perfect Pressure Point	<span class="icon-weapons"></span>13.2% AR Damage	<span class="icon-weapons"></span>15.5% Health Damage	<span class="icon-weapons"></span>9.5% Magazine Size
2025-12-02	weapon	header-he	Clan	40	Urban MDR	97,785	360	20	Thunder Strike	<span class="icon-weapons"></span>14.1% Rifle Damage	<span class="icon-weapons"></span>14% Critical Hit Damage	<span class="icon-weapons"></span>8% Headshot Damage
2025-12-02	weapon	header-he	Clan	40	X-45	76,630	400	10	Sadist	<span class="icon-weapons"></span>11.4% Pistol Damage	<span class="icon-weapons"></span>19% Optimal Range	-
2025-12-02	weapon	header-he	Clan	40	Enhanced AUG A3P	57,825	725	25	Vindictive	<span class="icon-weapons"></span>12.5% SMG Damage	<span class="icon-weapons"></span>17.5% Critical Hit Chance	<span class="icon-weapons"></span>7.8% Reload Speed
2025-12-02	weapon	header-he	Clan	40	Military RPK-74 M	55,474	650	45	Preservation	<span class="icon-weapons"></span>13.4% LMG Damage	<span class="icon-weapons"></span>10% Damage Out of Cover	<span class="icon-weapons"></span>18.5% Optimal Range
2025-12-02	weapon	header-named	Countdown	40	Kingbreaker		650	30	Perfect Flatline	<span class="icon-weapons"></span>11.7% AR Damage	<span class="icon-weapons"></span>16% Health Damage	<span class="icon-weapons"></span>8% Damage Out of Cover
2025-12-02	weapon	header-named	Countdown	40	Harmony - Resolute MK47	104,837	300	30	In Sync	<span class="icon-weapons"></span>11.3% Rifle Damage	<span class="icon-weapons"></span>14% Critical Hit Damage	<span class="icon-weapons"></span>9.1% Accuracy
2025-12-02	weapon	header-named	The Theater	40	Achilles - USC .45 ACP	98,255	420	20	Perfect Soft Spot	<span class="icon-weapons"></span>10.4% Rifle Damage	<span class="icon-weapons"></span>12% Critical Hit Damage	<span class="icon-weapons"></span>8% Health Damage
2025-12-02	weapon	header-he	The Theater	40	KSG Shotgun	594,230	70	12	Breadbasket	<span class="icon-weapons"></span>10.9% Shotgun Damage	<span class="icon-weapons"></span>9% Damage to Armor	<span class="icon-weapons"></span>9% Headshot Damage
2025-12-02	weapon	header-he	The Theater	40	ACR SS	92,614	420	30	Fast Hands	<span class="icon-weapons"></span>9.3% Rifle Damage	<span class="icon-weapons"></span>13% Critical Hit Damage	<span class="icon-weapons"></span>9% Accuracy
2025-12-02	weapon	header-named	The Campus	40	Commando - Paratrooper SVD	159,841	260	10	Perfectly Naked	<span class="icon-weapons"></span>9.7% MMR Damage	<span class="icon-weapons"></span>93% Headshot Damage	<span class="icon-weapons"></span>8.4% Reload Speed
2025-12-02	weapon	header-he	The Campus	40	Hunting M44	416,056	55	5	Breadbasket	<span class="icon-weapons"></span>9.1% MMR Damage	<span class="icon-weapons"></span>95% Headshot Damage	<span class="icon-weapons"></span>19.5% Optimal Range
2025-12-02	weapon	header-he	The Campus	40	Black Market M60 E6	61,116	500	100	Thunder Strike	<span class="icon-weapons"></span>10.5% LMG Damage	<span class="icon-weapons"></span>9% Damage Out of Cover	<span class="icon-weapons"></span>7% Health Damage
2025-12-02	weapon	header-named	The Castle	40	Dare - GR9	37,610	750	200	Flatline	<span class="icon-weapons"></span>8.7% LMG Damage	<span class="icon-weapons"></span>12% Damage Out of Cover	<span class="icon-weapons"></span>5.5% Critical Hit Chance
2025-12-02	weapon	header-he	The Castle	40	Custom M44	376,096	65	5	Thunder Strike	<span class="icon-weapons"></span>9.2% MMR Damage	<span class="icon-weapons"></span>98% Headshot Damage	<span class="icon-weapons"></span>7% Critical Hit Chance
2025-12-02	weapon	header-he	The Castle	40	MG5	43,251	800	50	Spike	<span class="icon-weapons"></span>9.2% LMG Damage	<span class="icon-weapons"></span>12% Damage Out of Cover	<span class="icon-weapons"></span>16% Optimal Range
2025-12-02	weapon	header-named	DZ West	40	The Virginian - 1886	342,247	100	5	Perfect Boomerang	<span class="icon-weapons"></span>9.3% Rifle Damage	<span class="icon-weapons"></span>14% Critical Hit Damage	<span class="icon-weapons"></span>7% Damage Out of Cover
2025-12-02	weapon	header-he	DZ West	40	Marine Super 90	440,031	160	8	Reformation	<span class="icon-weapons"></span>11.9% Shotgun Damage	<span class="icon-weapons"></span>8% Damage to Armor	<span class="icon-weapons"></span>10% Magazine Size
2025-12-02	weapon	header-he	DZ West	40	SOCOM M1A	141,036	320	10	Fast Hands	<span class="icon-weapons"></span>10.6% Rifle Damage	<span class="icon-weapons"></span>13% Critical Hit Damage	<span class="icon-weapons"></span>8.5% Stability
2025-12-02	weapon	header-he	DZ South	40	MP5-N	51,713	800	32	Immobilize	<span class="icon-weapons"></span>10.2% SMG Damage	<span class="icon-weapons"></span>14% Critical Hit Chance	<span class="icon-weapons"></span>11.9% Swap Speed
2025-12-02	weapon	header-he	DZ South	40	ACR-E	53,124	650	30	Future Perfect	<span class="icon-weapons"></span>11.4% AR Damage	<span class="icon-weapons"></span>16% Health Damage	<span class="icon-weapons"></span>9% Health Damage
2025-12-02	weapon	header-he	DZ South	40	Tactical M1911	98,725	310	7	Thunder Strike	<span class="icon-weapons"></span>11.1% Pistol Damage	<span class="icon-weapons"></span>9% Headshot Damage	-
2025-12-02	weapon	header-named	DZ East	40	Pinprick - Covert SRS	338,957	60	7	Perfect First Blood	<span class="icon-weapons"></span>11.1% MMR Damage	<span class="icon-weapons"></span>87% Headshot Damage	<span class="icon-weapons"></span>6.5% Health Damage
2025-12-02	weapon	header-he	DZ East	40	Surplus SVD	159,841	260	10	Precision Strike	<span class="icon-weapons"></span>15% MMR Damage	<span class="icon-weapons"></span>83% Headshot Damage	<span class="icon-weapons"></span>11.1% Swap Speed
2025-12-02	weapon	header-he	DZ East	40	Classic M60	63,466	500	100	Breadbasket	<span class="icon-weapons"></span>9.6% LMG Damage	<span class="icon-weapons"></span>8% Damage Out of Cover	<span class="icon-weapons"></span>7.5% Critical Hit Chance
2025-12-02	weapon	header-he	Haven	40	AUG A3-CQC	51,243	680	30	Thunder Strike	<span class="icon-weapons"></span>10.2% AR Damage	<span class="icon-weapons"></span>15% Health Damage	<span class="icon-weapons"></span>7% Critical Hit Damage
2025-12-02	weapon	header-he	Haven	40	G28	146,677	275	20	Spike	<span class="icon-weapons"></span>11.1% MMR Damage	<span class="icon-weapons"></span>93% Headshot Damage	<span class="icon-weapons"></span>11.6% Swap Speed
2025-12-02	weapon	header-he	Haven	40	KSG Shotgun	594,230	70	12	Immobilize	<span class="icon-weapons"></span>8.6% Shotgun Damage	<span class="icon-weapons"></span>9% Damage to Armor	<span class="icon-weapons"></span>8.5% Health Damage
2025-12-02	weapon	header-he	Haven	40	93R	32,908	1100	20	Optimist	<span class="icon-weapons"></span>11.5% Pistol Damage	<span class="icon-weapons"></span>5% Damage to Armor	-
2025-12-02	weapon	header-he	Benitez	40	Enhanced AUG A3P	57,825	725	25	Future Perfect	<span class="icon-weapons"></span>11.1% SMG Damage	<span class="icon-weapons"></span>14.5% Critical Hit Chance	<span class="icon-weapons"></span>8.5% Magazine Size
2025-12-02	weapon	header-he	Benitez	40	Classic M44 Carbine	423,108	55	5	Preservation	<span class="icon-weapons"></span>11.3% MMR Damage	<span class="icon-weapons"></span>105% Headshot Damage	<span class="icon-weapons"></span>5% Critical Hit Chance
2025-12-02	weapon	header-he	Benitez	40	M16A2	84,622	400	30	Future Perfect	<span class="icon-weapons"></span>10.3% Rifle Damage	<span class="icon-weapons"></span>12% Critical Hit Damage	<span class="icon-weapons"></span>9% Headshot Damage
2025-12-02	weapon	header-he	Benitez	40	First Wave PF45	82,741	370	12	Strained	<span class="icon-weapons"></span>10.7% Pistol Damage	<span class="icon-weapons"></span>9.5% Magazine Size	-
2025-12-02	weapon	header-he	The Bridge	40	F2000	45,132	850	30	Vindictive	<span class="icon-weapons"></span>10.5% AR Damage	<span class="icon-weapons"></span>15.5% Health Damage	<span class="icon-weapons"></span>9% Headshot Damage
2025-12-02	weapon	header-named	The Bridge	40	Relic - G28	146,677	275	20	Perfectly Determined	<span class="icon-weapons"></span>10.5% MMR Damage	<span class="icon-weapons"></span>90% Headshot Damage	<span class="icon-weapons"></span>8.4% Stability
2025-12-02	weapon	header-he	The Bridge	40	Black Market SASG-12 S	364,812	180	7	Sledgehammer	<span class="icon-weapons"></span>11.5% Shotgun Damage	<span class="icon-weapons"></span>9% Damage to Armor	<span class="icon-weapons"></span>7% Critical Hit Chance
2025-12-02	weapon	header-he	The Bridge	40	Px4 Storm Type T	79,920	380	17	Ranger	<span class="icon-weapons"></span>10.3% Pistol Damage	<span class="icon-weapons"></span>3.6% Rate of Fire	-
2025-12-02	weapon	header-named	Cassie	40	Kingbreaker		650	30	Flatline	<span class="icon-weapons"></span>11.7% AR Damage	<span class="icon-weapons"></span>16% Health Damage	<span class="icon-weapons"></span>8% Damage Out of Cover
2025-12-02	weapon	header-named	Cassie	40	Shield Splinterer - F2000	45,132	850	30	Optimist	<span class="icon-weapons"></span>11.3% AR Damage	<span class="icon-weapons"></span>16.5% Health Damage	<span class="icon-weapons"></span>9.1% Accuracy
2025-12-02	weapon	header-named	Cassie	40	Huntsman - FAMAS 2010	44,191	900	30	Frenzy	<span class="icon-weapons"></span>11.6% AR Damage	<span class="icon-weapons"></span>14.5% Health Damage	<span class="icon-weapons"></span>9% Headshot Damage
2025-12-02	weapon	header-he	Cassie	40	M1928	70,518	600	30	Vindictive	<span class="icon-weapons"></span>13.4% SMG Damage	<span class="icon-weapons"></span>16.5% Critical Hit Chance	<span class="icon-weapons"></span>18.5% Optimal Range
2025-12-02	weapon	header-he	Cassie	40	M700 Carbon	376,096	54	7	Killer	<span class="icon-weapons"></span>11% MMR Damage	<span class="icon-weapons"></span>92% Headshot Damage	<span class="icon-weapons"></span>13% Swap Speed
2025-12-09	weapon	header-named	Countdown	40	Test Subject	0	0	0	Perfectly In Sync	<span class="icon-weapons"></span>12 AR Damage	<span class="icon-weapons"></span>17.5 Health Damage	<span class="icon-weapons"></span>20 Optimal Range
2025-12-09	weapon	header-named	Countdown	40	Glory Daze - Custom P416 G3	47952	750	30	Perfectly Near Sighted	<span class="icon-weapons"></span>15 AR Damage	<span class="icon-weapons"></span>13 Health Damage	<span class="icon-weapons"></span>7 Damage Out of Cover
2025-12-09	weapon	header-named	White House	40	Glory Daze - Custom P416 G3	47952	750	30	Perfectly Near Sighted	<span class="icon-weapons"></span>11.2 AR Damage	<span class="icon-weapons"></span>15.5 Health Damage	<span class="icon-weapons"></span>8 Critical Hit Damage
2025-12-09	weapon	header-he	White House	40	MP5A2	51713	800	32	Optimist	<span class="icon-weapons"></span>10.9 SMG Damage	<span class="icon-weapons"></span>15 Critical Hit Chance	<span class="icon-weapons"></span>9 Magazine Size
2025-12-09	weapon	header-he	White House	40	Tactical Mk 16	55504	625	30	Killer	<span class="icon-weapons"></span>11.3 AR Damage	<span class="icon-weapons"></span>14 Health Damage	<span class="icon-weapons"></span>9.5 Magazine Size
2025-12-09	weapon	header-he	White House	40	93R	32908	1100	20	Finisher	<span class="icon-weapons"></span>10.3 Pistol Damage	<span class="icon-weapons"></span>12 Swap Speed	
2025-12-09	weapon	header-named	Clan	40	Swap Chain - MP7	47952	950	40	Unwavering	<span class="icon-weapons"></span>12.5 SMG Damage	<span class="icon-weapons"></span>15.5 Critical Hit Chance	<span class="icon-weapons"></span>12.5 Swap Speed
2025-12-09	weapon	header-he	Clan	40	Black Market M60 E6	61116	500	100	Sledgehammer	<span class="icon-weapons"></span>14.7 LMG Damage	<span class="icon-weapons"></span>11 Damage Out of Cover	<span class="icon-weapons"></span>8.4 Swap Speed
2025-12-09	weapon	header-he	Clan	40	SRS A1	338957	60	7	Thunder Strike	<span class="icon-weapons"></span>11 MMR Damage	<span class="icon-weapons"></span>100 Headshot Damage	<span class="icon-weapons"></span>8 Damage Out of Cover
2025-12-09	weapon	header-he	Clan	40	AUG A3 Para XS	57825	725	25	Unwavering	<span class="icon-weapons"></span>10.4 SMG Damage	<span class="icon-weapons"></span>17 Critical Hit Chance	<span class="icon-weapons"></span>12.6 Swap Speed
2025-12-09	weapon	header-named	The Theater	40	Whisper	84622	400	30	Perfectly Behind You	<span class="icon-weapons"></span>8.6 Rifle Damage	<span class="icon-weapons"></span>13 Critical Hit Damage	<span class="icon-weapons"></span>3.9 Rate of Fire
2025-12-09	weapon	header-named	The Theater	40	Thorn - SPAS-12	646883	70	8	Perfect Brazen	<span class="icon-weapons"></span>10.3 Shotgun Damage	<span class="icon-weapons"></span>8 Damage to Armor	<span class="icon-weapons"></span>8.2 Stability
2025-12-09	weapon	header-he	The Theater	40	Resolute MK47	104837	300	30	Vindictive	<span class="icon-weapons"></span>10.6 Rifle Damage	<span class="icon-weapons"></span>12 Critical Hit Damage	<span class="icon-weapons"></span>7 Damage Out of Cover
2025-12-09	weapon	header-named	The Campus	40	The Darkness - SOCOM Mk20 SSR	143857	282	20	Perfect Eyeless	<span class="icon-weapons"></span>10.6 MMR Damage	<span class="icon-weapons"></span>97 Headshot Damage	<span class="icon-weapons"></span>12.2 Swap Speed
2025-12-09	weapon	header-he	The Campus	40	Model 700	399602	54	7	Sadist	<span class="icon-weapons"></span>10.4 MMR Damage	<span class="icon-weapons"></span>90 Headshot Damage	<span class="icon-weapons"></span>8.5 Magazine Size
2025-12-09	weapon	header-he	The Campus	40	Military L86 LSW	59705	610	30	Sadist	<span class="icon-weapons"></span>10.9 LMG Damage	<span class="icon-weapons"></span>9 Damage Out of Cover	<span class="icon-weapons"></span>8 Headshot Damage
2025-12-09	weapon	header-named	The Castle	40	Carnage - IWI NEGEV	37610	850	100	Perfect Sadist	<span class="icon-weapons"></span>9 LMG Damage	<span class="icon-weapons"></span>10 Damage Out of Cover	<span class="icon-weapons"></span>6 Health Damage
2025-12-09	weapon	header-he	The Castle	40	Tactical .308	376096	70	8	Strained	<span class="icon-weapons"></span>9.4 MMR Damage	<span class="icon-weapons"></span>89 Headshot Damage	<span class="icon-weapons"></span>7 Health Damage
2025-12-09	weapon	header-he	The Castle	40	Military RPK-74 M	55474	650	45	Measured	<span class="icon-weapons"></span>10.8 LMG Damage	<span class="icon-weapons"></span>9 Damage Out of Cover	<span class="icon-weapons"></span>8.6 Reload Speed
2025-12-09	weapon	header-named	DZ East	40	Pinprick - Covert SRS	338957	60	7	Perfect First Blood	<span class="icon-weapons"></span>10 MMR Damage	<span class="icon-weapons"></span>88 Headshot Damage	<span class="icon-weapons"></span>7 Health Damage
2025-12-09	weapon	header-he	DZ East	40	SRS A1	338957	60	7	Soft Spot	<span class="icon-weapons"></span>9.4 MMR Damage	<span class="icon-weapons"></span>100 Headshot Damage	<span class="icon-weapons"></span>6 Health Damage
2025-12-09	weapon	header-he	DZ East	40	Military M60 E4	61116	500	100	Optimist	<span class="icon-weapons"></span>10 LMG Damage	<span class="icon-weapons"></span>8 Damage Out of Cover	<span class="icon-weapons"></span>7.5 Health Damage
2025-12-09	weapon	header-named	DZ South	40	The Apartment - MPX	53124	850	30	Perfectly Measured	<span class="icon-weapons"></span>10 SMG Damage	<span class="icon-weapons"></span>13.5 Critical Hit Chance	<span class="icon-weapons"></span>8 Critical Hit Damage
2025-12-09	weapon	header-he	DZ South	40	Enhanced PP-19	59705	700	53	Immobilize	<span class="icon-weapons"></span>8.6 SMG Damage	<span class="icon-weapons"></span>19 Critical Hit Chance	<span class="icon-weapons"></span>7 Health Damage
2025-12-09	weapon	header-he	DZ South	40	ACR	53124	650	30	Reformation	<span class="icon-weapons"></span>10.6 AR Damage	<span class="icon-weapons"></span>13 Health Damage	<span class="icon-weapons"></span>9 Headshot Damage
2025-12-09	weapon	header-he	DZ South	40	Officer's M9 A1	81801	350	20	Ranger	<span class="icon-weapons"></span>11.4 Pistol Damage	<span class="icon-weapons"></span>6.5 Critical Hit Chance	
2025-12-09	weapon	header-named	DZ West	40	Backup Boomstick - Double Barrel Sawed Off	620556	200	2	Preservation	<span class="icon-weapons"></span>17 Shotgun Damage	<span class="icon-weapons"></span>7 Damage to Armor	<span class="icon-weapons"></span>8.8 Reload Speed
2025-12-09	weapon	header-he	DZ West	40	Custom M870 MCS	695775	75	5	Future Perfect	<span class="icon-weapons"></span>5.5 Shotgun Damage	<span class="icon-weapons"></span>11 Damage to Armor	<span class="icon-weapons"></span>9 Critical Hit Damage
2025-12-09	weapon	header-he	DZ West	40	SOCOM M1A	141036	320	10	Immobilize	<span class="icon-weapons"></span>13.1 Rifle Damage	<span class="icon-weapons"></span>13 Critical Hit Damage	<span class="icon-weapons"></span>5 Critical Hit Chance
2025-12-09	weapon	header-he	Benitez	40	SIG 556	50773	720	30	Breadbasket	<span class="icon-weapons"></span>11.5 AR Damage	<span class="icon-weapons"></span>13 Health Damage	<span class="icon-weapons"></span>9 Headshot Damage
