DATE	type	rarity	vendor	level	name	attributes
2021-06-15	mod	header-defensive	Haven	40	Defensive Protocol: Resilience	8.5% Disorient Resistance 
2021-06-15	mod	header-he	Haven	40	Explosive Requisition	 Drone<br/>2 Extra Bombs
2021-06-15	mod	header-he	Haven	40	Hardened Casing	 Firefly<br/>5.7% Skill Haste
2021-06-15	mod	header-he	Haven	40	Improved Sticky Payload	 Sticky Bomb<br/>4% Burn Duration
2021-06-15	mod	header-offensive	Clan	40	Offensive System: Firearms	10.4% Critical Hit Damage 
2021-06-15	mod	header-he	Clan	40	Nickel-Chromium Wire	 Pulse<br/>6.6% Cone Size
2021-06-15	mod	header-he	Clan	40	Ultra-Thin Cartridges	 Chem Launcher<br/>6.2% Radius
2021-06-15	mod	header-he	Clan	40	Russian Doll Protocol	 Seeker Mine<br/>4.5% Damage
2021-06-15	mod	header-utility	Benitez	40	Utility Protocol: Electronics	10.1% Skill Haste 
2021-06-15	mod	header-offensive	Benitez	40	Offensive Protocol: Critical	4.7% Critical Hit Chance 
2021-06-15	mod	header-he	Benitez	40	Cyclone Magazine	 Turret<br/>4.1% Burn Damage
2021-06-15	mod	header-he	Benitez	40	Nickel-Chromium Wire	 Pulse<br/>6.3% Cone Size
2021-06-15	mod	header-he	Benitez	40	Improved Sticky Payload	 Sticky Bomb<br/>6.4% Damage
2021-06-15	mod	header-defensive	DZ West	40	Defensive Protocol: Resilience	11.0% Protection from Elites 
2021-06-15	mod	header-he	DZ West	40	Russian Doll Protocol	 Seeker Mine<br/>4.9% Skill Haste
2021-06-15	mod	header-he	DZ West	40	Adaptive Insulation Foam	 Shield<br/>4.2% Active Regeneration
2021-06-15	mod	header-he	DZ West	40	Propantriol Adhesive	 Firefly<br/>5.7% Damage
2021-06-15	mod	header-he	DZ West	40	Decoy Projector Internals	 Decoy<br/>5.5% Duration
2021-06-15	mod	header-utility	The Campus	40	Utility Protocol: Assist	8.5% Skill Duration 
2021-06-15	mod	header-he	The Campus	40	Ecotoxicology Research	 Chem Launcher<br/>1 Ammo
2021-06-15	mod	header-he	The Campus	40	Steel Harness	 Hive<br/>4 Repair Charges
2021-06-15	mod	header-he	The Campus	40	Atmospheric Analyzer	 Pulse<br/>4.8% Skill Haste
2021-06-15	mod	header-he	The Campus	40	Trap Electronics Upgrade	 Trap<br/>6.1% Duration
2021-06-15	mod	header-offensive	DZ South	40	Offensive Protocol: Critical	4.4% Critical Hit Chance 
2021-06-15	mod	header-he	DZ South	40	Reinforced Rotor Blades	 Drone<br/>8.0m Scan Range
2021-06-15	mod	header-he	DZ South	40	Weather Coating	 Turret<br/>7.9% Health
2021-06-15	mod	header-he	DZ South	40	Improved Sticky Payload	 Sticky Bomb<br/>6.3% Damage
2021-06-15	mod	header-defensive	The Theater	40	Defensive Protocol: Stamina	8.5% Disorient Resistance 
2021-06-15	mod	header-he	The Theater	40	Russian Doll Protocol	 Seeker Mine<br/>4.3% Damage
2021-06-15	mod	header-he	The Theater	40	Smart UHMWPE Lexicon	 Shield<br/>4.2% Deflector Damage
2021-06-15	mod	header-he	The Theater	40	Tungsten Compound	 Firefly<br/>6% Blind Effect Duration
2021-06-15	mod	header-he	The Theater	40	Decoy Housing Shell	 Decoy<br/>5.5% Health
2021-06-15	mod	header-utility	DZ East	40	Utility Protocol: Intensity	16.2% Repair Skills 
2021-06-15	mod	header-he	DZ East	40	Cell Penetrating Peptide	 Chem Launcher<br/>4.2% Damage
2021-06-15	mod	header-he	DZ East	40	Backpack Battery	 Hive<br/>4.2% Duration
2021-06-15	mod	header-he	DZ East	40	Unstable Oscillator	 Pulse<br/>6.2% Cone Size
2021-06-15	mod	header-he	DZ East	40	Trap Charge Improvement	 Trap<br/>4.3% Duration
2021-06-15	mod	header-offensive	Cassie	40	Offensive System: Firearms	10.4% Critical Hit Damage 
2021-06-15	mod	header-he	Cassie	40	Nickel-Chromium Wire	 Pulse<br/>6.6% Cone Size
2021-06-22	mod	header-offensive	White House	40	Offensive System: Dexterity	10.3% Critical Hit Damage 
2021-06-22	mod	header-he	White House	40	Additional Ordnance	 Drone<br/>4.2% Damage
2021-06-22	mod	header-he	White House	40	Lubrication Gel	 Turret<br/>4.2% Damage
2021-06-22	mod	header-he	White House	40	Improved Sticky Launcher	 Sticky Bomb<br/>4.9% Radius
2021-06-22	mod	header-offensive	Clan	40	Offensive System: Firearms	10.4% Critical Hit Damage 
2021-06-22	mod	header-defensive	Clan	40	Defensive System: Mending	8.6% Ensnare Resistance 
2021-06-22	mod	header-defensive	Clan	40	Defensive Protocol: Resilience	8.7% Blind Deaf Resistance 
2021-06-22	mod	header-he	Clan	40	Ecotoxicology Research	 Chem Launcher<br/>4.3% Duration
2021-06-22	mod	header-defensive	The Theater	40	Defensive System: Mending	15,517 Armor on Kill 
2021-06-22	mod	header-he	The Theater	40	Larrea Tridentata Infusion	 Seeker Mine<br/>4.7% Skill Haste
2021-06-22	mod	header-he	The Theater	40	Supramolecular Networks	 Shield<br/>4.1% Deflector Damage
2021-06-22	mod	header-he	The Theater	40	Guiding System	 Firefly<br/>1 Max Targets
2021-06-22	mod	header-he	The Theater	40	Decoy Projector Internals	 Decoy<br/>6.0% Duration
2021-06-22	mod	header-utility	The Campus	40	Utility Protocol: Intensity	16.2% Repair Skills 
2021-06-22	mod	header-he	The Campus	40	Pharmacokinetic Enhancer	 Chem Launcher<br/>1 Ammo
2021-06-22	mod	header-he	The Campus	40	Internal Storage	 Hive<br/>4 Stinger Charges
2021-06-22	mod	header-he	The Campus	40	Heating Mantle	 Pulse<br/>8.9% Effect Duration
2021-06-22	mod	header-he	The Campus	40	Trap Charge Improvement	 Trap<br/>4.3% Duration
2021-06-22	mod	header-defensive	DZ West	40	Defensive Protocol: Resilience	8.2% Disrupt Resistance 
2021-06-22	mod	header-he	DZ West	40	Ball Bearings	 Seeker Mine<br/>6.3% Health
2021-06-22	mod	header-he	DZ West	40	Liquid Nitrogen Cooling System	 Shield<br/>4.0 Damage Bonus Per Enemy
2021-06-22	mod	header-he	DZ West	40	Vac Pack	 Firefly<br/>6.1% Damage
2021-06-22	mod	header-he	DZ West	40	Decoy Projector Internals	 Decoy<br/>6.0% Duration
2021-06-22	mod	header-offensive	DZ South	40	Offensive Protocol: Critical	6.9% Headshot Damage 
2021-06-22	mod	header-he	DZ South	40	Electric Soldering Tool	 Drone<br/>6.4% Duration
2021-06-22	mod	header-he	DZ South	40	SHD CPU V.2	 Turret<br/>5.8% Skill Haste
2021-06-22	mod	header-he	DZ South	40	Improved Sticky Payload	 Sticky Bomb<br/>6.4% Damage
2021-06-22	mod	header-utility	DZ East	40	Utility System: Electronics	8.2% Skill Duration 
2021-06-22	mod	header-he	DZ East	40	Disintegrating Links	 Chem Launcher<br/>5.8% Radius
2021-06-22	mod	header-he	DZ East	40	Nitroglycerin Mixture	 Hive<br/>4 Repair Charges
2021-06-22	mod	header-he	DZ East	40	Distributed Architecture	 Pulse<br/>6.4% Cone Size
2021-06-22	mod	header-he	DZ East	40	Trap Electronics Upgrade	 Trap<br/>5.8% Shock Radius
2021-06-22	mod	header-offensive	Haven	40	Offensive System: Firearms	7.0% Headshot Damage 
2021-06-22	mod	header-defensive	Haven	40	Defensive Protocol: Resilience	8.5% Bleed Resistance 
2021-06-22	mod	header-he	Haven	40	Cyclone Magazine	 Turret<br/>4.2% Burn Damage
2021-06-22	mod	header-he	Haven	40	Micro Conduits	 Firefly<br/>8.3% Speed
2021-06-22	mod	header-he	Haven	40	Trap Electronics Upgrade	 Trap<br/>5.8% Duration
2021-06-22	mod	header-offensive	Benitez	40	Offensive System: Dexterity	4.4% Critical Hit Chance 
2021-06-22	mod	header-defensive	Benitez	40	Defensive Protocol: Stamina	8.4% Blind Deaf Resistance 
2021-06-22	mod	header-he	Benitez	40	Smart UHMWPE Lexicon	 Shield<br/>4.3% Holstered Regeneration
2021-06-22	mod	header-he	Benitez	40	Cooling Vents	 Hive<br/>4 Repair Charges
2021-06-22	mod	header-he	Benitez	40	Improved Sticky Launcher	 Sticky Bomb<br/>4.8% Blast Radius
2021-06-22	mod	header-offensive	Cassie	40	Offensive System: Firearms	10.4% Critical Hit Damage 
2021-06-22	mod	header-he	Cassie	40	Thermoresponsive Polymer	 Shield<br/>1.0 Damage Bonus Per Enemy
2021-06-29	mod	header-offensive	White House	40	Offensive System: Dexterity	10.1% Critical Hit Damage 
2021-06-29	mod	header-he	White House	40	Reinforced Rotor Blades	 Drone<br/>2 Extra Bombs
2021-06-29	mod	header-he	White House	40	Weather Coating	 Turret<br/>1 Extra Sniper Ammo
2021-06-29	mod	header-he	White House	40	Improved Sticky Payload	 Sticky Bomb<br/>6.3% Damage
2021-06-29	mod	header-utility	Clan	40	Utility System: Electronics	17.6% Repair Skills 
2021-06-29	mod	header-defensive	Clan	40	Defensive Protocol: Stamina	11.0% Protection from Elites 
2021-06-29	mod	header-offensive	Clan	40	Offensive System: Dexterity	7.6% Headshot Damage 
2021-06-29	mod	header-he	Clan	40	Explosive Requisition	 Drone<br/>8.4m Scan Range
2021-06-29	mod	header-defensive	The Theater	40	Defensive System: Mending	8.2% Bleed Resistance 
2021-06-29	mod	header-he	The Theater	40	Phosphorus Ingredient	 Seeker Mine<br/>1 Cluster Mines
2021-06-29	mod	header-he	The Theater	40	Thermoresponsive Polymer	 Shield<br/>4.1% Holstered Regeneration
2021-06-29	mod	header-he	The Theater	40	Guiding System	 Firefly<br/>1 Max Targets
2021-06-29	mod	header-he	The Theater	40	Decoy Projector Internals	 Decoy<br/>6.0% Duration
2021-06-29	mod	header-utility	The Campus	40	Utility System: Electronics	10.1% Skill Haste 
2021-06-29	mod	header-he	The Campus	40	Disintegrating Links	 Chem Launcher<br/>4.3% Duration
2021-06-29	mod	header-he	The Campus	40	Radar Signal Antennas	 Hive<br/>8.2% Stim Efficiency
2021-06-29	mod	header-he	The Campus	40	Nickel-Chromium Wire	 Pulse<br/>6.2% Cone Size
2021-06-29	mod	header-he	The Campus	40	Trap Charge Improvement	 Trap<br/>4.3% Duration
2021-06-29	mod	header-defensive	DZ West	40	Defensive Protocol: Resilience	8.5% Ensnare Resistance 
2021-06-29	mod	header-he	DZ West	40	Larrea Tridentata Infusion	 Seeker Mine<br/>4.7% Skill Haste
2021-06-29	mod	header-he	DZ West	40	Titanium Reinforcement	 Shield<br/>4.3% Shield Health
2021-06-29	mod	header-he	DZ West	40	Propantriol Adhesive	 Firefly<br/>5.7% Damage
2021-06-29	mod	header-he	DZ West	40	Decoy Housing Shell	 Decoy<br/>6.0% Health
2021-06-29	mod	header-offensive	DZ South	40	Offensive Protocol: Critical	9.9% Critical Hit Damage 
2021-06-29	mod	header-he	DZ South	40	Explosive Requisition	 Drone<br/>7.9m Scan Range
2021-06-29	mod	header-he	DZ South	40	SHD CPU V.2	 Turret<br/>5.9% Skill Haste
2021-06-29	mod	header-he	DZ South	40	Improved Sticky Launcher	 Sticky Bomb<br/>4.2% Skill Haste
2021-06-29	mod	header-utility	DZ East	40	Utility Protocol: Intensity	10.2% Skill Haste 
2021-06-29	mod	header-he	DZ East	40	Liquid Nitrogen Cooling System	 Chem Launcher<br/>1 Ammo
2021-06-29	mod	header-he	DZ East	40	Swarm Control	 Hive<br/>7.4% Health
2021-06-29	mod	header-he	DZ East	40	Atmospheric Analyzer	 Pulse<br/>8.5% Effect Duration
2021-06-29	mod	header-he	DZ East	40	Trap Charge Improvement	 Trap<br/>4.3% Duration
2021-06-29	mod	header-offensive	Haven	40	Offensive System: Dexterity	4.4% Critical Hit Chance 
2021-06-29	mod	header-offensive	Haven	40	Offensive Protocol: Critical	6.9% Headshot Damage 
2021-06-29	mod	header-he	Haven	40	Sturdy Piston	 Seeker Mine<br/>4.9% Skill Haste
2021-06-29	mod	header-he	Haven	40	Feed Strip	 Chem Launcher<br/>6.2% Burn Strength
2021-06-29	mod	header-he	Haven	40	Improved Sticky Launcher	 Sticky Bomb<br/>4.3% Skill Haste
2021-06-29	mod	header-defensive	Benitez	40	Defensive System: Mending	8.3% Burn Resistance 
2021-06-29	mod	header-utility	Benitez	40	Utility Protocol: Intensity	10.2% Skill Haste 
2021-06-29	mod	header-he	Benitez	40	Weather Coating	 Turret<br/>7.8% Health
2021-06-29	mod	header-he	Benitez	40	Network Firewall	 Hive<br/>7.3% Health
2021-06-29	mod	header-he	Benitez	40	Trap Electronics Upgrade	 Trap<br/>6.1% Duration
2021-06-29	mod	header-utility	Cassie	40	Utility System: Electronics	17.6% Repair Skills 
2021-06-29	mod	header-he	Cassie	40	Nickel-Chromium Wire	 Pulse<br/>8.9% Radius
2021-07-06	mod	header-offensive	White House	40	Offensive System: Firearms	7.0% Headshot Damage 
2021-07-06	mod	header-he	White House	40	Electric Soldering Tool	 Drone<br/>6.5% Duration
2021-07-06	mod	header-he	White House	40	Magnetic Rail	 Turret<br/>4.1% Damage
2021-07-06	mod	header-he	White House	40	Improved Sticky Payload	 Sticky Bomb<br/>6.5% Damage
2021-07-06	mod	header-utility	Clan	40	Utility System: Assist	17.4% Repair Skills 
2021-07-06	mod	header-he	Clan	40	Cooling Vents	 Hive<br/>4 Repair Charges
2021-07-06	mod	header-he	Clan	40	Super Glue	 Pulse<br/>9.1% Effect Duration
2021-07-06	mod	header-he	Clan	40	Tungsten Compound	 Firefly<br/>6.1% Blind Effect Duration
2021-07-06	mod	header-defensive	The Theater	40	Defensive System: Mending	11.0% Protection from Elites 
2021-07-06	mod	header-he	The Theater	40	Ball Bearings	 Seeker Mine<br/>1 Cluster Mines
2021-07-06	mod	header-he	The Theater	40	Cementitious Material	 Shield<br/>4.3% Shield Health
2021-07-06	mod	header-he	The Theater	40	Propantriol Adhesive	 Firefly<br/>6.1% Damage
2021-07-06	mod	header-he	The Theater	40	Decoy Housing Shell	 Decoy<br/>6.0% Health
2021-07-06	mod	header-utility	The Campus	40	Utility Protocol: Intensity	10.0% Skill Haste 
2021-07-06	mod	header-he	The Campus	40	Chromatics Training	 Chem Launcher<br/>6.1% Heal
2021-07-06	mod	header-he	The Campus	40	Radar Signal Antennas	 Hive<br/>8.2% Stim Efficiency
2021-07-06	mod	header-he	The Campus	40	Atmospheric Analyzer	 Pulse<br/>8.6% Effect Duration
2021-07-06	mod	header-he	The Campus	40	Trap Charge Improvement	 Trap<br/>4.2% Duration
2021-07-06	mod	header-defensive	DZ West	40	Defensive Protocol: Stamina	8.2% Shock Resistance 
2021-07-06	mod	header-he	DZ West	40	Sturdy Piston	 Seeker Mine<br/>4.8% Skill Haste
2021-07-06	mod	header-he	DZ West	40	Supramolecular Networks	 Shield<br/>4 Damage Bonus Per Enemy
2021-07-06	mod	header-he	DZ West	40	Alignment Valve	 Firefly<br/>7.8% Speed
2021-07-06	mod	header-he	DZ West	40	Decoy Projector Internals	 Decoy<br/>6.0% Duration
2021-07-06	mod	header-offensive	DZ South	40	Offensive System: Dexterity	4.4% Critical Hit Chance 
2021-07-06	mod	header-he	DZ South	40	Blitzkrieg Blasting Powder	 Drone<br/>6.2% Duration
2021-07-06	mod	header-he	DZ South	40	SHD CPU V.2	 Turret<br/>5.9% Duration
2021-07-06	mod	header-he	DZ South	40	Improved Sticky Launcher	 Sticky Bomb<br/>4.3% Skill Haste
2021-07-06	mod	header-utility	DZ East	40	Utility System: Assist	10.1% Skill Haste 
2021-07-06	mod	header-he	DZ East	40	Chromatics Training	 Chem Launcher<br/>5.7% Heal
2021-07-06	mod	header-he	DZ East	40	Extra Payload	 Hive<br/>4.3% Damage
2021-07-06	mod	header-he	DZ East	40	Atmospheric Analyzer	 Pulse<br/>8.7% Effect Duration
2021-07-06	mod	header-he	DZ East	40	Trap Charge Improvement	 Trap<br/>4.3% Duration
2021-07-06	mod	header-defensive	Haven	40	Defensive System: Mending	8.5% Bleed Resistance 
2021-07-06	mod	header-utility	Haven	40	Utility Protocol: Intensity	16.2% Repair Skills 
2021-07-06	mod	header-he	Haven	40	Lubrication Gel	 Turret<br/>4.3% Damage
2021-07-06	mod	header-he	Haven	40	Experimental Blend	 Hive<br/>8.5% Stim Efficiency
2021-07-06	mod	header-he	Haven	40	Trap Electronics Upgrade	 Trap<br/>6.0% Duration
2021-07-06	mod	header-utility	Benitez	40	Utility System: Assist	16.4% Repair Skills 
2021-07-06	mod	header-utility	Benitez	40	Utility Protocol: Intensity	8.5% Skill Duration 
2021-07-06	mod	header-he	Benitez	40	Larrea Tridentata Infusion	 Seeker Mine<br/>4.3% Damage
2021-07-06	mod	header-he	Benitez	40	Feed Strip	 Chem Launcher<br/>4.1% Damage
2021-07-06	mod	header-he	Benitez	40	Decoy Projector Internals	 Decoy<br/>5.5% Duration
2021-07-06	mod	header-utility	Cassie	40	Utility Protocol: Assist	17.4% Repair Skills 
2021-07-06	mod	header-he	Cassie	40	Cooling Vents	 Hive<br/>4 Repair Charges
2021-07-13	mod	header-offensive	White House	40	Offensive System: Dexterity	7.4% Headshot Damage 
2021-07-13	mod	header-he	White House	40	Graphene Battery	 Drone<br/>6.4% Duration
2021-07-13	mod	header-he	White House	40	Cyclone Magazine	 Turret<br/>4.1% Burn Damage
2021-07-13	mod	header-he	White House	40	Improved Sticky Launcher	 Sticky Bomb<br/>4.3% Skill Haste
2021-07-13	mod	header-defensive	Clan	40	Defensive Protocol: Resilience	16,849 Armor on Kill 
2021-07-13	mod	header-he	Clan	40	Carbon Fiber Frame	 Drone<br/>8.4m Scan Range
2021-07-13	mod	header-offensive	Clan	40	Offensive System: Dexterity	4.7% Critical Hit Chance 
2021-07-13	mod	header-he	Clan	40	PVA Polymer Coating	 Chem Launcher<br/>6.5% Burn Strength
2021-07-13	mod	header-defensive	The Theater	40	Defensive System: Mending	16,020 Armor on Kill 
2021-07-13	mod	header-he	The Theater	40	RDX Pellet Payload	 Seeker Mine<br/>6.1% Healing
2021-07-13	mod	header-he	The Theater	40	Thermoresponsive Polymer	 Shield<br/>4.3% Holstered Regeneration
2021-07-13	mod	header-he	The Theater	40	Guiding System	 Firefly<br/>1 Max Targets
2021-07-13	mod	header-he	The Theater	40	Decoy Housing Shell	 Decoy<br/>6.0% Health
2021-07-13	mod	header-utility	The Campus	40	Utility Protocol: Intensity	16.6% Repair Skills 
2021-07-13	mod	header-he	The Campus	40	Slip Fit Tube	 Chem Launcher<br/>6.0% Heal
2021-07-13	mod	header-he	The Campus	40	Swarm Control	 Hive<br/>4.2% Duration
2021-07-13	mod	header-he	The Campus	40	Exploded Blueprint	 Pulse<br/>15.1% Health
2021-07-13	mod	header-he	The Campus	40	Trap Charge Improvement	 Trap<br/>4.1% Duration
2021-07-13	mod	header-defensive	DZ West	40	Defensive Protocol: Stamina	8.3% Burn Resistance 
