DATE	type	rarity	vendor	level	name	dmg	rpm	mag	talent	attribute1_icon	attribute1_value	attribute1_type	attribute2_icon	attribute2_value	attribute2_type	attribute3_icon	attribute3_value	attribute3_type
2021-06-01	weapon	header-he	DZウエスト	40	ACS-12	169,243	300	20	ストレインド	icon-weapons	9.3	ショットガンダメージ	icon-weapons	9.0	アーマーへのダメージ	icon-weapons	8.5	HPダメージ
2021-06-01	weapon	header-he	DZウエスト	40	ACR	53,124	650	30	オプティミスト	icon-weapons	11.8	ライフルダメージ	icon-weapons	12.0	クリティカルダメージ	icon-weapons	12.2	切り替え速度
2021-06-01	weapon	header-named	シアター	40	クエレブレ	695,775	75	5	パーフェクト・ジャズハンド	icon-weapons	11.3	ショットガンダメージ	icon-weapons	9.0	アーマーへのダメージ	icon-weapons	8.0	クリティカルダメージ
2021-06-01	weapon	header-he	シアター	40	ACS-12	169,243	300	20	スパイク	icon-weapons	12.0	ショットガンダメージ	icon-weapons	10.0	アーマーへのダメージ	icon-weapons	7.8	命中率
2021-06-01	weapon	header-he	シアター	40	クラシック M1A	205,442	180	10	オプティミスト	icon-weapons	11.0	ライフルダメージ	icon-weapons	12.0	クリティカルダメージ	icon-weapons	8.5	装弾数
2021-06-01	weapon	header-named	キャンパス	40	タブラ・ラーサ	59,705	610	30	パーフェクト・ステディハンド	icon-weapons	12.5	LMGダメージ	icon-weapons	8.0	カバー外のターゲットへのダメージ	icon-weapons	7.0	クリティカルダメージ
2021-06-01	weapon	header-he	キャンパス	40	ハンティング M44	416,056	55	5	リフォーメーション	icon-weapons	12.0	マークスマンライフルダメージ	icon-weapons	97.0	ヘッドショットダメージ上昇	icon-weapons	6.0	クリティカルダメージ
2021-06-01	weapon	header-he	キャンパス	40	ブラックマーケット RPK-74 E	55,474	650	45	フューチャーパーフェクト	icon-weapons	11.0	LMGダメージ	icon-weapons	9.0	カバー外のターゲットへのダメージ	icon-weapons	7.0	HPダメージ
2021-06-01	weapon	header-named	DZサウス	40	セーフティディスタンス	53,124	850	30	パーフェクト・アウトサイダー	icon-weapons	10.9	SMGダメージ	icon-weapons	15.0	クリティカル率	icon-weapons	7.0	カバー外のターゲットへのダメージ
2021-06-01	weapon	header-he	DZサウス	40	コンバーテッド SMG-9 A2	49,833	825	32	アウトサイダー	icon-weapons	10.4	SMGダメージ	icon-weapons	14.5	クリティカル率	icon-weapons	5.0	アーマーへのダメージ
2021-06-01	weapon	header-he	DZサウス	40	FAL SA-58	56,885	650	20	オプティミスト	icon-weapons	11.8	アサルトライフルダメージ	icon-weapons	14.0	HPダメージ	icon-weapons	3.6	連射速度
2021-06-01	weapon	header-he	DZサウス	40	X-45 タクティカル	76,630	400	15	インシンク	icon-weapons	11.1	ピストルダメージ	icon-weapons	9.0	ヘッドショットダメージ上昇			
2021-06-01	weapon	header-he	DZイースト	40	クラシック M44 カービン	423,108	55	5	サディスト	icon-weapons	10.6	マークスマンライフルダメージ	icon-weapons	91.0	ヘッドショットダメージ上昇	icon-weapons	7.0	カバー外のターゲットへのダメージ
2021-06-01	weapon	header-he	DZイースト	40	ミリタリー L86 LSW	59,705	610	30	持続力	icon-weapons	13.1	LMGダメージ	icon-weapons	10.0	カバー外のターゲットへのダメージ	icon-weapons	4.0	クリティカル率
2021-06-01	weapon	header-named	キャシー	40	セーフティディスタンス	53,124	850	30	アウトサイダー	icon-weapons	11.9	SMGダメージ	icon-weapons	16.5	クリティカル率	icon-weapons	13.0	切り替え速度
2021-06-01	weapon	header-named	キャシー	40	シールドスプリンタラー	45,132	850	30	パーフェクト・オプティミスト	icon-weapons	15.0	アサルトライフルダメージ	icon-weapons	13.5	HPダメージ	icon-weapons	11.6	切り替え速度
2021-06-01	weapon	header-he	キャシー	40	ブラックマーケット T821	66,757	550	32	アウトサイダー	icon-weapons	13.5	SMGダメージ	icon-weapons	18.5	クリティカル率	icon-weapons	11.4	切り替え速度
2021-06-01	weapon	header-he	キャシー	40	レゾリュート MK47	104,837	300	30	アイレス	icon-weapons	11.7	ライフルダメージ	icon-weapons	14.0	クリティカルダメージ	icon-weapons	9.3	安定性
2021-06-08	weapon	header-named	ホワイトハウス	40	メカニカルアニマル	50,773	720	30	フューチャーパーフェクション	icon-weapons	9.7	アサルトライフルダメージ	icon-weapons	19.0	HPダメージ	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-08	weapon	header-he	ホワイトハウス	40	ポリス UMP-45	65,817	600	30	スパイク	icon-weapons	10.6	SMGダメージ	icon-weapons	14.5	クリティカル率	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-08	weapon	header-he	ホワイトハウス	40	カービン 7	47,012	790	30	オーバーフロー	icon-weapons	11.2	アサルトライフルダメージ	icon-weapons	13.0	HPダメージ	icon-weapons	5.0	アーマーへのダメージ
2021-06-08	weapon	header-he	ホワイトハウス	40	X-45 タクティカル	76,630	400	15	ステディハンド	icon-weapons	10.4	ピストルダメージ	icon-weapons	18.0	最適射程			
2021-06-08	weapon	header-named	クランショップ	40	スワップチェーン	47,952	950	40	パーフェクト・アンウェイバリング	icon-weapons	13.0	SMGダメージ	icon-weapons	16.5	クリティカル率	icon-weapons	13.0	切り替え速度
2021-06-08	weapon	header-he	クランショップ	40	ハンティング M44	416,056	55	5	キラー	icon-weapons	9.0	マークスマンライフルダメージ	icon-weapons	106.0	ヘッドショットダメージ上昇	icon-weapons	9.0	カバー外のターゲットへのダメージ
2021-06-08	weapon	header-he	クランショップ	40	ブラックマーケット AK-M	60,645	600	30	リフォーメーション	icon-weapons	10.6	アサルトライフルダメージ	icon-weapons	16.0	HPダメージ	icon-weapons	10.3	安定性
2021-06-08	weapon	header-he	クランショップ	40	ポリス Mk17	116,120	275	20	ブレッドバスケット	icon-weapons	12.3	ライフルダメージ	icon-weapons	14.0	クリティカルダメージ	icon-weapons	8.0	HPダメージ
2021-06-08	weapon	header-he	クランショップ	40	ミリタリー MK46	56,414	550	100	オプティミスト	icon-weapons	12.3	LMGダメージ	icon-weapons	9.0	カバー外のターゲットへのダメージ	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-08	weapon	header-he	クランショップ	40	SR-1	357,291	60	5	ネイキッド	icon-weapons	11.5	マークスマンライフルダメージ	icon-weapons	94.0	ヘッドショットダメージ上昇	icon-weapons	8.0	カバー外のターゲットへのダメージ
2021-06-08	weapon	header-named	シアター	40	サージ	100,136	380	30	パーフェクト・スパイク	icon-weapons	15.0	ライフルダメージ	icon-weapons	15.0	クリティカルダメージ	icon-weapons	3.5	HPダメージ
2021-06-08	weapon	header-he	シアター	40	タクティカル SASG-12 K	364,812	180	7	キラー	icon-weapons	11.3	ショットガンダメージ	icon-weapons	9.0	アーマーへのダメージ	icon-weapons	19.0	最適射程
2021-06-08	weapon	header-he	シアター	40	USC .45 ACP	98,255	420	20	ステディハンド	icon-weapons	8.4	ライフルダメージ	icon-weapons	17.0	クリティカルダメージ	icon-weapons	5.5	HPダメージ
2021-06-08	weapon	header-he	キャンパス	40	M700 カーボン	376,096	54	7	ネイキッド	icon-weapons	15.0	マークスマンライフルダメージ	icon-weapons	95.0	ヘッドショットダメージ上昇	icon-weapons	5.2	命中率
2021-06-08	weapon	header-he	キャンパス	40	ブラックマーケット RPK-74 E	55,474	650	45	メジャード	icon-weapons	10.8	LMGダメージ	icon-weapons	9.0	カバー外のターゲットへのダメージ	icon-weapons	5.0	アーマーへのダメージ
2021-06-08	weapon	header-named	DZウエスト	40	クエレブレ	695,775	75	5	パーフェクト・ジャズハンド	icon-weapons	11.5	ショットガンダメージ	icon-weapons	8.0	アーマーへのダメージ	icon-weapons	7.0	カバー外のターゲットへのダメージ
2021-06-08	weapon	header-he	DZウエスト	40	タクティカル スーパー 90 SBS	440,031	160	8	アイレス	icon-weapons	10.1	ショットガンダメージ	icon-weapons	8.0	アーマーへのダメージ	icon-weapons	9.4	リロード速度
2021-06-08	weapon	header-he	DZウエスト	40	ライトウェイト M4	103,987	360	30	オプティミスト	icon-weapons	12.5	ライフルダメージ	icon-weapons	14.0	クリティカルダメージ	icon-weapons	5.5	HPダメージ
2021-06-08	weapon	header-named	DZサウス	40	レイルスプリッター	41,371	900	30	パーフェクト・アキュレート	icon-weapons	11.1	アサルトライフルダメージ	icon-weapons	14.5	HPダメージ	icon-weapons	8.3	命中率
2021-06-08	weapon	header-he	DZサウス	40	AUG A3 Para XS	57,825	725	25	接近戦	icon-weapons	12.5	SMGダメージ	icon-weapons	15.0	クリティカル率	icon-weapons	4.0	アーマーへのダメージ
2021-06-08	weapon	header-he	DZサウス	40	ハニーバジャー	47,952	790	30	プリザベーション	icon-weapons	11.3	アサルトライフルダメージ	icon-weapons	15.5	HPダメージ	icon-weapons	9.0	安定性
2021-06-08	weapon	header-he	DZサウス	40	Px4 ストームType T	79,920	380	17	ビンディクティブ	icon-weapons	9.9	ピストルダメージ	icon-weapons	8.0	HPダメージ			
2021-06-08	weapon	header-named	DZイースト	40	ザ・ダークネス	143,857	282	20	パーフェクト・アイレス	icon-weapons	10.2	マークスマンライフルダメージ	icon-weapons	89.0	ヘッドショットダメージ上昇	icon-weapons	7.0	HPダメージ
2021-06-08	weapon	header-he	DZイースト	40	SRS A1	338,957	60	7	リフォーメーション	icon-weapons	14.5	マークスマンライフルダメージ	icon-weapons	85.0	ヘッドショットダメージ上昇	icon-weapons	5.5	装弾数
2021-06-08	weapon	header-he	DZイースト	40	インファントリー MG5	43,251	800	50	キラー	icon-weapons	10.2	LMGダメージ	icon-weapons	8.0	カバー外のターゲットへのダメージ	icon-weapons	7.0	クリティカルダメージ
2021-06-08	weapon	header-he	ヘイヴン	40	AUG A3 Para XS	57,825	725	25	アンウェイバリング	icon-weapons	13.2	SMGダメージ	icon-weapons	14.0	クリティカル率	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-08	weapon	header-he	ヘイヴン	40	SR-1	357,291	60	5	イグナイテッド	icon-weapons	10.3	マークスマンライフルダメージ	icon-weapons	91.0	ヘッドショットダメージ上昇	icon-weapons	8.2	リロード速度
2021-06-08	weapon	header-he	ヘイヴン	40	ブラックマーケット SASG-12 S	364,812	180	7	プリザベーション	icon-weapons	10.8	ショットガンダメージ	icon-weapons	9.0	アーマーへのダメージ	icon-weapons	8.7	リロード速度
2021-06-08	weapon	header-he	ヘイヴン	40	586 マグナム	190,339	160	6	クイックハンド	icon-weapons	10.1	ピストルダメージ	icon-weapons	8.9	命中率			
2021-06-08	weapon	header-he	ベニテス	40	タクティカル Mk 16	55,504	625	30	メジャード	icon-weapons	10.2	アサルトライフルダメージ	icon-weapons	17.5	HPダメージ	icon-weapons	7.0	クリティカルダメージ
2021-06-08	weapon	header-he	ベニテス	40	M700 タクティカル	376,096	54	7	ステディハンド	icon-weapons	10.6	マークスマンライフルダメージ	icon-weapons	91.0	ヘッドショットダメージ上昇	icon-weapons	8.5	命中率
2021-06-08	weapon	header-he	ベニテス	40	SASG-12	364,812	180	7	イグナイテッド	icon-weapons	11.5	ショットガンダメージ	icon-weapons	8.0	アーマーへのダメージ	icon-weapons	6.0	クリティカル率
2021-06-08	weapon	header-he	ベニテス	40	X-45	76,630	400	10	リフォーメーション	icon-weapons	11.4	ピストルダメージ	icon-weapons	6.5	HPダメージ			
2021-06-08	weapon	header-named	キャシー	40	スワップチェーン	47,952	950	40	パーフェクト・アンウェイバリング	icon-weapons	12.7	SMGダメージ	icon-weapons	14.0	クリティカル率	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-08	weapon	header-named	キャシー	40	シールドスプリンタラー	45,132	850	30	パーフェクト・オプティミスト	icon-weapons	10.2	アサルトライフルダメージ	icon-weapons	14.0	HPダメージ	icon-weapons	6.0	アーマーへのダメージ
2021-06-08	weapon	header-he	キャシー	40	MP7	47,952	950	40	オプティミスト	icon-weapons	12.3	SMGダメージ	icon-weapons	15.5	クリティカル率	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-08	weapon	header-he	キャシー	40	SR-1	357,291	60	5	ネイキッド	icon-weapons	11.5	マークスマンライフルダメージ	icon-weapons	94.0	ヘッドショットダメージ上昇	icon-weapons	8.0	カバー外のターゲットへのダメージ
2021-06-15	weapon	header-named	ホワイトハウス	40	エミリーンガード	48,892	900	50	パーフェクト・プリザベーション	icon-weapons	10.8	SMGダメージ	icon-weapons	16.0	クリティカル率	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-15	weapon	header-he	ホワイトハウス	40	タクティカル ヴェクター SBR 9mm	42,311	1200	19	ステディハンド	icon-weapons	11.7	SMGダメージ	icon-weapons	16.0	クリティカル率	icon-weapons	11.2	切り替え速度
2021-06-15	weapon	header-he	ホワイトハウス	40	PDR		700	30	イグナイテッド	icon-weapons	11.2	アサルトライフルダメージ	icon-weapons	14.5	HPダメージ	icon-weapons	9.0	リロード速度
2021-06-15	weapon	header-he	ホワイトハウス	40	X-45	76,630	400	10	プリザベーション	icon-weapons	12.2	ピストルダメージ	icon-weapons	9.0	ヘッドショットダメージ上昇			
2021-06-15	weapon	header-he	ヘイヴン	40	MP5A2	51,713	800	32	サディスト	icon-weapons	10.1	SMGダメージ	icon-weapons	14.0	クリティカル率	icon-weapons	8.0	クリティカルダメージ
2021-06-15	weapon	header-he	ヘイヴン	40	ミリタリー RPK-74 M	55,474	650	45	ブレッドバスケット	icon-weapons	11.7	LMGダメージ	icon-weapons	9.0	カバー外のターゲットへのダメージ	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-15	weapon	header-he	ヘイヴン	40	M1A CQB	156,080	320	10	インシンク	icon-weapons	14.2	ライフルダメージ	icon-weapons	11.0	クリティカルダメージ	icon-weapons	7.5	装弾数
2021-06-15	weapon	header-he	ヘイヴン	40	Px4 ストームType F	79,920	380	17	イグナイテッド	icon-weapons	10.6	ピストルダメージ	icon-weapons	5.0	アーマーへのダメージ			
2021-06-15	weapon	header-named	クランショップ	40	モザンビークスペシャル	98,725	310	18	パーフェクト・ブレッドバスケット	icon-weapons	11.3	ピストルダメージ	icon-weapons	8.0	カバー外のターゲットへのダメージ			
2021-06-15	weapon	header-he	クランショップ	40	SR-1	357,291	60	5	ネイキッド	icon-weapons	11.8	マークスマンライフルダメージ	icon-weapons	96.0	ヘッドショットダメージ上昇	icon-weapons	10.2	命中率
2021-06-15	weapon	header-he	クランショップ	40	ミリタリー M870	695,775	75	5	フューチャーパーフェクト	icon-weapons	12.2	ショットガンダメージ	icon-weapons	9.0	アーマーへのダメージ	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-15	weapon	header-he	クランショップ	40	G36 エンハンスド	48,892	750	30	ステディハンド	icon-weapons	11.4	アサルトライフルダメージ	icon-weapons	15.5	HPダメージ	icon-weapons	13.3	切り替え速度
2021-06-15	weapon	header-he	ベニテス	40	エンハンスド PP-19	59,705	700	53	ビンディクティブ	icon-weapons	11.0	SMGダメージ	icon-weapons	14.5	クリティカル率	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-15	weapon	header-he	ベニテス	40	M249 B	56,414	550	100	接近戦	icon-weapons	10.8	LMGダメージ	icon-weapons	9.0	カバー外のターゲットへのダメージ	icon-weapons	8.7	命中率
2021-06-15	weapon	header-he	ベニテス	40	ミリタリー M870	695,775	75	5	サディスト	icon-weapons	11.5	ショットガンダメージ	icon-weapons	9.0	アーマーへのダメージ	icon-weapons	9.0	装弾数
2021-06-15	weapon	header-he	ベニテス	40	X-45	76,630	400	10	スパイク	icon-weapons	10.9	ピストルダメージ	icon-weapons	6.5	クリティカル率			
2021-06-15	weapon	header-he	DZウエスト	40	タクティカル スーパー 90 SBS	440,031	160	8	キラー	icon-weapons	11.8	ショットガンダメージ	icon-weapons	8.0	アーマーへのダメージ	icon-weapons	7.0	カバー外のターゲットへのダメージ
2021-06-15	weapon	header-he	DZウエスト	40	SIG 716	97,785	320	20	オプティミスト	icon-weapons	11.3	ライフルダメージ	icon-weapons	13.0	クリティカルダメージ	icon-weapons	7.5	クリティカル率
2021-06-15	weapon	header-named	キャンパス	40	イキムロングスティック	399,602	54	7	パーフェクト・レンジャー	icon-weapons	8.2	マークスマンライフルダメージ	icon-weapons	80.0	ヘッドショットダメージ上昇	icon-weapons	6.0	アーマーへのダメージ
2021-06-15	weapon	header-he	キャンパス	40	SOCOM Mk20 SSR	143,857	275	20	ファーストブラッド	icon-weapons	9.9	マークスマンライフルダメージ	icon-weapons	88.0	ヘッドショットダメージ上昇	icon-weapons	9.5	装弾数
2021-06-15	weapon	header-he	キャンパス	40	クラシック RPK-74	55,474	650	45	プリザベーション	icon-weapons	10.1	LMGダメージ	icon-weapons	9.0	カバー外のターゲットへのダメージ	icon-weapons	7.0	クリティカルダメージ
2021-06-15	weapon	header-he	DZサウス	40	MP5A2	51,713	800	32	プリザベーション	icon-weapons	8.0	SMGダメージ	icon-weapons	20.5	クリティカル率	icon-weapons	10.5	切り替え速度
2021-06-15	weapon	header-he	DZサウス	40	F2000	45,132	850	30	プリザベーション	icon-weapons	10.5	アサルトライフルダメージ	icon-weapons	15.5	HPダメージ	icon-weapons	9.5	装弾数
2021-06-15	weapon	header-he	DZサウス	40	D50	220,956	150	8	フィニッシャー	icon-weapons	8.6	ピストルダメージ	icon-weapons	8.0	クリティカル率			
2021-06-15	weapon	header-named	シアター	40	ベイカーズダズン	205,442	180	10	パーフェクト・ラッキーショット	icon-weapons	8.9	ライフルダメージ	icon-weapons	14.0	クリティカルダメージ	icon-weapons	9.4	安定性
2021-06-15	weapon	header-he	シアター	40	タクティカル スーパー 90 SBS	440,031	160	8	ステディハンド	icon-weapons	11.9	ショットガンダメージ	icon-weapons	8.0	アーマーへのダメージ	icon-weapons	7.0	クリティカルダメージ
2021-06-15	weapon	header-he	シアター	40	M16A2	84,622	400	30	サディスト	icon-weapons	8.9	ライフルダメージ	icon-weapons	12.0	クリティカルダメージ	icon-weapons	4.1	連射速度
2021-06-15	weapon	header-named	DZイースト	40	コマンドー	159,841	260	10	パーフェクト・ネイキッド	icon-weapons	12.2	マークスマンライフルダメージ	icon-weapons	110.0	ヘッドショットダメージ上昇	icon-weapons	5.5	命中率
2021-06-15	weapon	header-he	DZイースト	40	タクティカル .308		70	8	接近戦	icon-weapons	11.1	マークスマンライフルダメージ	icon-weapons	83.0	ヘッドショットダメージ上昇	icon-weapons	7.0	クリティカル率
2021-06-15	weapon	header-he	DZイースト	40	ミリタリー L86 LSW	59,705	610	30	アンヒンジド	icon-weapons	10.0	LMGダメージ	icon-weapons	10.0	カバー外のターゲットへのダメージ	icon-weapons	8.5	装弾数
2021-06-15	weapon	header-named	キャシー	40	カーネッジ	37,610	850	100	パーフェクト・サディスト	icon-weapons	12.1	LMGダメージ	icon-weapons	10.0	カバー外のターゲットへのダメージ	icon-weapons	13.1	切り替え速度
2021-06-15	weapon	header-named	キャシー	40	シールドスプリンタラー	45,132	850	30	パーフェクト・オプティミスト	icon-weapons	15.0	アサルトライフルダメージ	icon-weapons	16.5	HPダメージ	icon-weapons	13.0	最適射程
2021-06-15	weapon	header-he	キャシー	40	ストーナー LAMG	47,952	580	200	オーバーウェルム	icon-weapons	11.1	LMGダメージ	icon-weapons	10.0	カバー外のターゲットへのダメージ	icon-weapons	9.5	装弾数
2021-06-15	weapon	header-he	キャシー	40	SOCOM M1A	141,036	320	10	ステディハンド	icon-weapons	11.4	ライフルダメージ	icon-weapons	13.0	クリティカルダメージ	icon-weapons	13.3	切り替え速度
2021-06-22	weapon	header-he	ホワイトハウス	40	トミーガン	55,474	800	50	キラー	icon-weapons	10.1	SMGダメージ	icon-weapons	15.0	クリティカル率	icon-weapons	6.5	HPダメージ
2021-06-22	weapon	header-he	ホワイトハウス	40	ハニーバジャー	47,952	790	30	キラー	icon-weapons	10.9	アサルトライフルダメージ	icon-weapons	14.0	HPダメージ	icon-weapons	5.0	アーマーへのダメージ
2021-06-22	weapon	header-he	ホワイトハウス	40	M1911	101,076	310	7	ステディハンド	icon-weapons	12.5	ピストルダメージ	icon-weapons	4.0	アーマーへのダメージ			
2021-06-22	weapon	header-he	クランショップ	40	ブラックマーケット M60 E6	61,116	500	100	フューチャーパーフェクト	icon-weapons	11.0	LMGダメージ	icon-weapons	9.0	カバー外のターゲットへのダメージ	icon-weapons	9.0	ヘッドショットダメージ上昇
2021-06-22	weapon	header-he	クランショップ	40	M249 B	56,414	550	100	接近戦	icon-weapons	12.9	LMGダメージ	icon-weapons	7.0	カバー外のターゲットへのダメージ	icon-weapons	6.0	アーマーへのダメージ
2021-06-22	weapon	header-he	クランショップ	40	P90	48,892	900	50	リフォーメーション	icon-weapons	10.5	SMGダメージ	icon-weapons	17.5	クリティカル率	icon-weapons	7.0	クリティカルダメージ
2021-06-22	weapon	header-he	シアター	40	タクティカル SASG-12 K	364,812	180	7	持続力	icon-weapons	11.5	ショットガンダメージ	icon-weapons	8.0	アーマーへのダメージ	icon-weapons	7.5	HPダメージ
2021-06-22	weapon	header-he	シアター	40	ポリス Mk17	116,120	275	20	オプティミスト	icon-weapons	12.2	ライフルダメージ	icon-weapons	12.0	クリティカルダメージ	icon-weapons	8.0	ヘッドショットダメージ上昇
2021-06-22	weapon	header-named	キャンパス	40	ホワイトデス	423,108	55	5	クイックハンド	icon-weapons	15.0	マークスマンライフルダメージ	icon-weapons	137.0	ヘッドショットダメージ上昇	icon-weapons	2.2	連射速度
2021-06-22	weapon	header-he	キャンパス	40	クラシック M44 カービン	423,108	55	5	イグナイテッド	icon-weapons	11.6	マークスマンライフルダメージ	icon-weapons	95.0	ヘッドショットダメージ上昇	icon-weapons	6.5	クリティカル率
2021-06-22	weapon	header-he	キャンパス	40	MG5	43,251	800	50	アンヒンジド	icon-weapons	10.2	LMGダメージ	icon-weapons	8.0	カバー外のターゲットへのダメージ	icon-weapons	8.1	リロード速度
2021-06-22	weapon	header-named	DZウエスト	40	クエレブレ	695,775	75	5	パーフェクト・ジャズハンド	icon-weapons	11.3	ショットガンダメージ	icon-weapons	9.0	アーマーへのダメージ	icon-weapons	3.9	連射速度
2021-06-22	weapon	header-he	DZウエスト	40	M870 エキスプレス	695,775	75	5	サディスト	icon-weapons	9.5	ショットガンダメージ	icon-weapons	8.0	アーマーへのダメージ	icon-weapons	10.5	装弾数
2021-06-22	weapon	header-he	DZウエスト	40	ライトウェイト M4	103,987	360	30	ステディハンド	icon-weapons	10.1	ライフルダメージ	icon-weapons	12.0	クリティカルダメージ	icon-weapons	13.2	切り替え速度
2021-06-22	weapon	header-named	DZサウス	40	セーフティディスタンス	53,124	850	30	パーフェクト・アウトサイダー	icon-weapons	8.5	SMGダメージ	icon-weapons	16.5	クリティカル率	icon-weapons	10.0	装弾数
2021-06-22	weapon	header-he	DZサウス	40	MP5-N	51,713	800	32	持続力	icon-weapons	10.4	SMGダメージ	icon-weapons	14.5	クリティカル率	icon-weapons	12.5	切り替え速度
2021-06-22	weapon	header-he	DZサウス	40	Mk16	55,504	625	30	サディスト	icon-weapons	12.0	アサルトライフルダメージ	icon-weapons	14.5	HPダメージ	icon-weapons	8.0	クリティカルダメージ
2021-06-22	weapon	header-he	DZサウス	40	ミリタリー M9	81,801	350	15	接近戦	icon-weapons	15.0	ピストルダメージ	icon-weapons	4.0	クリティカル率			
2021-06-22	weapon	header-he	DZイースト	40	M700 タクティカル	376,096	54	7	フューチャーパーフェクト	icon-weapons	10.4	マークスマンライフルダメージ	icon-weapons	94.0	ヘッドショットダメージ上昇	icon-weapons	9.1	命中率
2021-06-22	weapon	header-he	DZイースト	40	MG5	43,251	800	50	ビンディクティブ	icon-weapons	8.1	LMGダメージ	icon-weapons	12.0	カバー外のターゲットへのダメージ	icon-weapons	5.5	HPダメージ
2021-06-22	weapon	header-he	ヘイヴン	40	CTAR-21	41,371	900	30	ビンディクティブ	icon-weapons	10.8	アサルトライフルダメージ	icon-weapons	15.0	HPダメージ	icon-weapons	8.0	クリティカル率
2021-06-22	weapon	header-he	ヘイヴン	40	SR-1	357,291	60	5	プリザベーション	icon-weapons	11.6	マークスマンライフルダメージ	icon-weapons	87.0	ヘッドショットダメージ上昇	icon-weapons	9.3	命中率
